step,loss,gap,ff,fp,tp,cross_batch,hf_rows_consumed
1,14.732013702392578,-0.0004319839645177126,0.002027540234848857,0.0024595241993665695,0.22288504242897034,0.0016980881337076426,96
2,14.021998405456543,0.0010645538568496704,0.0968872532248497,0.09582269936800003,0.2745205760002136,0.08608276396989822,192
3,12.438892364501953,0.0010243207216262817,0.16633771359920502,0.16531339287757874,0.246122807264328,0.1516820639371872,288
4,12.272772789001465,0.0010828375816345215,0.1905239224433899,0.18944108486175537,0.2483559548854828,0.17387652397155762,384
5,11.821763038635254,0.001161143183708191,0.2158021181821823,0.21464097499847412,0.24467577040195465,0.20402897894382477,480
6,11.7897310256958,0.0018554329872131348,0.23503462970256805,0.23317919671535492,0.2634739875793457,0.2144411951303482,576
7,11.694317817687988,0.00167924165725708,0.26496028900146484,0.26328104734420776,0.2864546775817871,0.24069154262542725,672
8,11.488784790039062,0.001858144998550415,0.27590203285217285,0.27404388785362244,0.2933700382709503,0.2532041668891907,768
9,11.01630687713623,0.0011081695556640625,0.2723610997200012,0.27125293016433716,0.2587403357028961,0.2464757263660431,864
10,10.932683944702148,0.0022216737270355225,0.2870257496833801,0.2848040759563446,0.21010029315948486,0.2656923830509186,960
11,11.480687141418457,0.0020182430744171143,0.3113258183002472,0.3093075752258301,0.2917625308036804,0.2859170138835907,1056
12,10.812249183654785,0.0015706121921539307,0.32410547137260437,0.32253485918045044,0.2608560025691986,0.2840886116027832,1152
13,11.162070274353027,0.0011619627475738525,0.32762935757637024,0.3264673948287964,0.29646939039230347,0.2978591024875641,1248
14,10.916275024414062,0.002474963665008545,0.31813710927963257,0.315662145614624,0.2820113003253937,0.26782578229904175,1344
15,10.726680755615234,0.002427339553833008,0.3214377760887146,0.3190104365348816,0.2379443198442459,0.28422993421554565,1440
16,10.863249778747559,0.0014698505401611328,0.33833032846450806,0.3368604779243469,0.2832227647304535,0.29810500144958496,1536
17,10.729310035705566,0.0032647550106048584,0.34758850932121277,0.3443237543106079,0.31513625383377075,0.2907770574092865,1632
18,10.436775207519531,0.0028512775897979736,0.31975463032722473,0.31690335273742676,0.23048938810825348,0.28465208411216736,1728
19,10.210249900817871,0.0039369165897369385,0.3172670602798462,0.31333014369010925,0.24074794352054596,0.27339380979537964,1824
20,10.520807266235352,0.002967357635498047,0.31771260499954224,0.3147452473640442,0.2585597634315491,0.2769445776939392,1920
21,9.87883186340332,0.0012860000133514404,0.3702198565006256,0.36893385648727417,0.3557833731174469,0.30668947100639343,2016
22,9.709232330322266,0.003215879201889038,0.34964585304260254,0.3464299738407135,0.20278404653072357,0.32083216309547424,2112
23,10.06633186340332,0.0036877691745758057,0.38785484433174133,0.3841670751571655,0.333946168422699,0.3492770195007324,2208
24,9.887359619140625,0.0015808939933776855,0.41674965620040894,0.41516876220703125,0.3567620515823364,0.36840689182281494,2304
