step,loss,gap,ff,fp,hf_rows_consumed
1,14.830118179321289,-0.0011026493011740968,-0.001262773061171174,-0.00016012375999707729,96
2,13.866026878356934,-4.719197750091553e-05,0.09627776592969894,0.09632495790719986,192
3,12.607975959777832,-0.0002808868885040283,0.1623269021511078,0.16260778903961182,288
4,12.418305397033691,0.000980377197265625,0.19120697677135468,0.19022659957408905,384
5,11.720561981201172,1.901388168334961e-05,0.21813368797302246,0.2181146740913391,480
6,11.939982414245605,0.0006308406591415405,0.24102015793323517,0.24038931727409363,576
7,11.822914123535156,0.0007863044738769531,0.2670075595378876,0.2662212550640106,672
8,11.349104881286621,0.0010908246040344238,0.2871221601963043,0.2860313355922699,768
9,11.0340576171875,0.00048169493675231934,0.2788640558719635,0.2783823609352112,864
10,11.060073852539062,0.0011699497699737549,0.2933128774166107,0.29214292764663696,960
11,11.538705825805664,0.001077413558959961,0.30829793214797974,0.3072205185890198,1056
12,10.917116165161133,0.0004937946796417236,0.3262488543987274,0.3257550597190857,1152
13,11.417357444763184,-0.000907212495803833,0.3238712251186371,0.3247784376144409,1248
14,11.127060890197754,0.0006029009819030762,0.3262457847595215,0.3256428837776184,1344
15,11.007145881652832,0.0012978017330169678,0.3227653503417969,0.3214675486087799,1440
16,11.155399322509766,0.0006055533885955811,0.3380863070487976,0.337480753660202,1536
17,10.951953887939453,0.0022357702255249023,0.341128945350647,0.33889317512512207,1632
18,10.895500183105469,0.0012726187705993652,0.30530261993408203,0.30403000116348267,1728
19,10.703508377075195,0.002598196268081665,0.30078864097595215,0.2981904447078705,1824
20,10.81688117980957,0.001444786787033081,0.3042004704475403,0.3027556836605072,1920
21,10.608835220336914,-1.9550323486328125e-05,0.34745556116104126,0.3474751114845276,2016
22,10.37380313873291,0.001696079969406128,0.3271915018558502,0.3254954218864441,2112
23,10.715359687805176,0.001793205738067627,0.3552592396736145,0.3534660339355469,2208
24,10.83005428314209,0.0005633234977722168,0.38046401739120483,0.3799006938934326,2304
25,10.263202667236328,0.00041863322257995605,0.36914563179016113,0.3687269985675812,2400
26,10.342822074890137,-0.00015026330947875977,0.360416978597641,0.36056724190711975,2496
27,10.17796802520752,0.00010508298873901367,0.3817422688007355,0.38163718581199646,2592
28,10.06006908416748,0.001017242670059204,0.3788169324398041,0.3777996897697449,2688
29,10.221647262573242,0.003418534994125366,0.3950290381908417,0.3916105031967163,2784
30,9.970768928527832,0.0006258785724639893,0.40539225935935974,0.40476638078689575,2880
31,9.791740417480469,0.0004507303237915039,0.4132280945777893,0.4127773642539978,2976
32,9.967872619628906,0.0012655854225158691,0.42479199171066284,0.423526406288147,3072
33,9.674372673034668,0.0011424422264099121,0.43728160858154297,0.43613916635513306,3168
34,9.711227416992188,-0.0006025135517120361,0.4501743018627167,0.4507768154144287,3264
35,9.480138778686523,0.0002777278423309326,0.4555525779724121,0.4552748501300812,3360
36,9.695577621459961,0.00041410326957702637,0.45193642377853394,0.4515223205089569,3456
37,9.398879051208496,-0.0010470449924468994,0.45429086685180664,0.45533791184425354,3552
38,9.317270278930664,-0.0009620189666748047,0.46486061811447144,0.46582263708114624,3648
39,9.021547317504883,0.00191536545753479,0.47096139192581177,0.469046026468277,3744
40,8.921136856079102,0.0010446906089782715,0.4792904853820801,0.4782457947731018,3840
41,9.192679405212402,0.000839918851852417,0.4938366115093231,0.4929966926574707,3936
42,8.991327285766602,0.0026540756225585938,0.5239173173904419,0.5212632417678833,4032
43,8.940420150756836,0.004277944564819336,0.5213489532470703,0.517071008682251,4128
44,8.706856727600098,0.00046581029891967773,0.5271819829940796,0.5267161726951599,4224
45,8.431253433227539,0.0032165050506591797,0.538049578666687,0.5348330736160278,4320
46,8.410162925720215,0.0038956403732299805,0.5347784757614136,0.5308828353881836,4416
47,8.433622360229492,0.00013756752014160156,0.5678674578666687,0.5677298903465271,4512
48,8.129505157470703,0.0027781128883361816,0.5844053626060486,0.5816272497177124,4608
49,7.85772180557251,-0.0006910562515258789,0.6095321178436279,0.6102231740951538,4704
50,7.862806797027588,0.0024548768997192383,0.6089808344841003,0.6065259575843811,4800
51,7.775019645690918,0.0006256103515625,0.6300055980682373,0.6293799877166748,4896
52,7.6973066329956055,-0.001043558120727539,0.6382688283920288,0.6393123865127563,4992
53,7.3831024169921875,0.0056778788566589355,0.6641741991043091,0.6584963202476501,5088
54,7.384591102600098,0.004297316074371338,0.6726428866386414,0.66834557056427,5184
55,7.461835861206055,0.002929866313934326,0.6848012208938599,0.6818713545799255,5280
56,7.493762969970703,0.005533695220947266,0.6953162550926208,0.6897825598716736,5376
57,7.234935283660889,0.0011279582977294922,0.715788722038269,0.7146607637405396,5472
58,7.077844619750977,0.004361867904663086,0.7164648175239563,0.7121029496192932,5568
59,7.007091522216797,0.007869422435760498,0.7292594909667969,0.7213900685310364,5664
60,6.97162389755249,0.003072500228881836,0.7330915331840515,0.7300190329551697,5760
61,6.6993231773376465,0.015030860900878906,0.7616487145423889,0.74661785364151,5856
62,6.769705295562744,0.014869391918182373,0.7614339590072632,0.7465645670890808,5952
63,6.585764408111572,0.0166664719581604,0.7802245020866394,0.763558030128479,6048
64,6.635740756988525,0.010500788688659668,0.7897243499755859,0.7792235612869263,6144
65,6.59652853012085,0.005551517009735107,0.79474937915802,0.7891978621482849,6240
66,6.5886712074279785,0.012257397174835205,0.8042874932289124,0.7920300960540771,6336
67,6.604701995849609,0.0030797719955444336,0.8135586977005005,0.810478925704956,6432
68,6.501195907592773,0.013461470603942871,0.8204275965690613,0.8069661259651184,6528
69,6.477907657623291,0.01300126314163208,0.8348572254180908,0.8218559622764587,6624
70,6.472241401672363,0.006102085113525391,0.8376296758651733,0.831527590751648,6720
71,6.3272013664245605,0.012519776821136475,0.8460962772369385,0.833576500415802,6816
72,6.381905555725098,0.008417606353759766,0.855546772480011,0.8471291661262512,6912
73,6.427441120147705,0.0063956379890441895,0.852677583694458,0.8462819457054138,7008
74,6.4304518699646,0.01051098108291626,0.8570388555526733,0.8465278744697571,7104
75,6.370828628540039,0.009912550449371338,0.8633151054382324,0.8534025549888611,7200
76,6.353851318359375,0.0029535889625549316,0.8700183629989624,0.8670647740364075,7296
77,6.386331081390381,0.008897721767425537,0.8706563711166382,0.8617586493492126,7392
78,6.316676139831543,0.0032258033752441406,0.8755789995193481,0.872353196144104,7488
79,6.435130596160889,0.0016438961029052734,0.8748131394386292,0.8731692433357239,7584
80,6.278654098510742,0.006814062595367432,0.8854883313179016,0.8786742687225342,7680
81,6.311046600341797,0.010741233825683594,0.8864220976829529,0.8756808638572693,7776
82,6.332351207733154,0.004371821880340576,0.8857226967811584,0.8813508749008179,7872
83,6.287691593170166,0.007270336151123047,0.8855032920837402,0.8782329559326172,7968
84,6.258161544799805,0.005612373352050781,0.8850142359733582,0.8794018626213074,8064
85,6.249231338500977,0.008699297904968262,0.8915624618530273,0.8828631639480591,8160
86,6.257747650146484,0.00825279951095581,0.8930794596672058,0.88482666015625,8256
87,6.284534931182861,0.004958987236022949,0.8934438824653625,0.8884848952293396,8352
88,6.2154998779296875,0.008335411548614502,0.9034044742584229,0.8950690627098083,8448
89,6.156052589416504,0.013881087303161621,0.897185742855072,0.8833046555519104,8544
90,6.2418928146362305,0.009104132652282715,0.8936551213264465,0.8845509886741638,8640
91,6.243547439575195,0.008990287780761719,0.8955131769180298,0.8865228891372681,8736
92,6.2132415771484375,0.01513528823852539,0.8936437964439392,0.8785085082054138,8832
93,6.308013439178467,0.012918710708618164,0.8900017142295837,0.8770830035209656,8928
94,6.201165676116943,0.01274186372756958,0.8988953828811646,0.886153519153595,9024
95,6.2306623458862305,0.014559686183929443,0.8999309539794922,0.8853712677955627,9120
96,6.2711381912231445,0.014412105083465576,0.8978111147880554,0.8833990097045898,9216
97,6.203597545623779,0.016516387462615967,0.900536298751831,0.8840199112892151,9312
98,6.183461666107178,0.02319204807281494,0.8968468308448792,0.8736547827720642,9408
99,6.231529235839844,0.010050535202026367,0.8959217071533203,0.885871171951294,9504
100,6.1173882484436035,0.01623469591140747,0.9036341905593872,0.8873994946479797,9600
101,6.213528633117676,0.013477683067321777,0.8969324231147766,0.8834547400474548,9696
102,6.192197799682617,0.011877954006195068,0.9023454785346985,0.8904675245285034,9792
103,6.213849067687988,0.013314664363861084,0.9002675414085388,0.8869528770446777,9888
104,6.154811859130859,0.017567098140716553,0.9040942192077637,0.8865271210670471,9984
105,6.1721343994140625,0.0174940824508667,0.9045668840408325,0.8870728015899658,10080
106,6.200866222381592,0.014077305793762207,0.9006497263908386,0.8865724205970764,10176
107,6.2133941650390625,0.01149207353591919,0.8999709486961365,0.8884788751602173,10272
108,6.163595199584961,0.012647509574890137,0.9025264978408813,0.8898789882659912,10368
109,6.144428253173828,0.023415088653564453,0.9021105766296387,0.8786954879760742,10464
110,6.160925388336182,0.019747495651245117,0.9010185599327087,0.8812710642814636,10560
111,6.168751239776611,0.02397012710571289,0.9021674990653992,0.8781973719596863,10656
