run,step,ema_tau
align_teacher_a09,20000,0.9
align_teacher_a09,20100,0.9
align_teacher_a09,20200,0.9
align_teacher_a09,20300,0.9
align_teacher_a09,20400,0.9
align_teacher_a09,20500,0.9
align_teacher_a09,20600,0.9
align_teacher_a09,20700,0.9
align_teacher_a09,20800,0.9
align_teacher_a09,20900,0.9
align_teacher_a09,21000,0.9
align_teacher_a09,21100,0.9
align_teacher_a09,21200,0.9
align_teacher_a09,21300,0.9
align_teacher_a09,21400,0.9
align_teacher_a09,21500,0.9
align_teacher_a09,21600,0.9
align_teacher_a09,21700,0.9
align_teacher_a09,21800,0.9
align_teacher_a09,21900,0.9
align_teacher_a09,22000,0.9
align_teacher_a09,22100,0.9
align_teacher_a09,22200,0.9
align_teacher_a09,22300,0.9
align_teacher_a09,22400,0.9
align_teacher_a09,22500,0.9
align_teacher_a09,22600,0.9
align_teacher_a09,22700,0.9
align_teacher_a09,22800,0.9
align_teacher_a09,22900,0.9
align_teacher_a09,23000,0.9
align_teacher_a09,23100,0.9
align_teacher_a09,23200,0.9
align_teacher_a09,23300,0.9
align_teacher_a09,23400,0.9
align_teacher_a09,23500,0.9
align_teacher_a09,23600,0.9
align_teacher_a09,23700,0.9
align_teacher_a09,23800,0.9
align_teacher_a09,23900,0.9
align_teacher_a09,24000,0.9
align_teacher_a09,24100,0.9
align_teacher_a09,24200,0.9
align_teacher_a09,24300,0.9
align_teacher_a09,24400,0.9
align_teacher_a09,24500,0.9
align_teacher_a09,24600,0.9
align_teacher_a09,24700,0.9
align_teacher_a09,24800,0.9
align_teacher_a09,24900,0.9
align_teacher_a09,25000,0.9
align_teacher_a09,25100,0.9
align_teacher_a09,25200,0.9
align_teacher_a09,25300,0.9
align_teacher_a09,25400,0.9
align_teacher_a09,25500,0.9
align_teacher_a09,25600,0.9
align_teacher_a09,25700,0.9
align_teacher_a09,25800,0.9
align_teacher_a09,25900,0.9
align_teacher_a09,26000,0.9
align_teacher_a09,26100,0.9
align_teacher_a09,26200,0.9
align_teacher_a09,26300,0.9
align_teacher_a09,26400,0.9
align_teacher_a09,26500,0.9
align_teacher_a09,26600,0.9
align_teacher_a09,26700,0.9
align_teacher_a09,26800,0.9
align_teacher_a09,26900,0.9
align_teacher_a09,27000,0.9
align_teacher_a09,27100,0.9
align_teacher_a09,27200,0.9
align_teacher_a09,27300,0.9
align_teacher_a09,27400,0.9
align_teacher_a09,27500,0.9
align_teacher_a09,27600,0.9
align_teacher_a09,27700,0.9
align_teacher_a09,27800,0.9
align_teacher_a09,27900,0.9
align_teacher_a09,28000,0.9
align_teacher_a09,28100,0.9
align_teacher_a09,28200,0.9
align_teacher_a09,28300,0.9
align_teacher_a09,28400,0.9
align_teacher_a09,28500,0.9
align_teacher_a09,28600,0.9
align_teacher_a09,28700,0.9
align_teacher_a09,28800,0.9
align_teacher_a09,28900,0.9
align_teacher_a09,29000,0.9
align_teacher_a09,29100,0.9
align_teacher_a09,29200,0.9
align_teacher_a09,29300,0.9
align_teacher_a09,29400,0.9
align_teacher_a09,29500,0.9
align_teacher_a09,29600,0.9
align_teacher_a09,29700,0.9
align_teacher_a09,29800,0.9
align_teacher_a09,29900,0.9
align_teacher_a09,30000,0.9
align_teacher_a09,30100,0.9
align_teacher_a09,30200,0.9
align_teacher_a09,30300,0.9
align_teacher_a09,30400,0.9
align_teacher_a09,30500,0.9
align_teacher_a09,30600,0.9
align_teacher_a09,30700,0.9
align_teacher_a09,30800,0.9
align_teacher_a09,30900,0.9
align_teacher_a09,31000,0.9
align_teacher_a09,31100,0.9
align_teacher_a09,31200,0.9
align_teacher_a09,31300,0.9
align_teacher_a09,31400,0.9
align_teacher_a09,31500,0.9
align_teacher_a09,31600,0.9
align_teacher_a09,31700,0.9
align_teacher_a09,31800,0.9
align_teacher_a09,31900,0.9
align_teacher_a09,32000,0.9
align_teacher_a09,32100,0.9
align_teacher_a09,32200,0.9
align_teacher_a09,32300,0.9
align_teacher_a09,32400,0.9
align_teacher_a09,32500,0.9
align_teacher_a09,32600,0.9
align_teacher_a09,32700,0.9
align_teacher_a09,32800,0.9
align_teacher_a09,32900,0.9
align_teacher_a09,33000,0.9
align_teacher_a09,33100,0.9
align_teacher_a09,33200,0.9
align_teacher_a09,33300,0.9
align_teacher_a09,33400,0.9
align_teacher_a09,33500,0.9
align_teacher_a09,33600,0.9
align_teacher_a09,33700,0.9
align_teacher_a09,33800,0.9
align_teacher_a09,33900,0.9
align_teacher_a09,34000,0.9
align_teacher_a09,34100,0.9
align_teacher_a09,34200,0.9
align_teacher_a09,34300,0.9
align_teacher_a09,34400,0.9
align_teacher_a09,34500,0.9
align_teacher_a09,34600,0.9
align_teacher_a09,34700,0.9
align_teacher_a09,34800,0.9
align_teacher_a09,34900,0.9
align_teacher_a09,35000,0.9
align_teacher_a09,35100,0.9
align_teacher_a09,35200,0.9
align_teacher_a09,35300,0.9
align_teacher_a09,35400,0.9
align_teacher_a09,35500,0.9
align_teacher_a09,35600,0.9
align_teacher_a09,35700,0.9
align_teacher_a09,35800,0.9
align_teacher_a09,35900,0.9
align_teacher_a09,36000,0.9
align_teacher_a09,36100,0.9
align_teacher_a09,36200,0.9
align_teacher_a09,36300,0.9
align_teacher_a09,36400,0.9
align_teacher_a09,36500,0.9
align_teacher_a09,36600,0.9
align_teacher_a09,36700,0.9
align_teacher_a09,36800,0.9
align_teacher_a09,36900,0.9
align_teacher_a09,37000,0.9
align_teacher_a09,37100,0.9
align_teacher_a09,37200,0.9
align_teacher_a09,37300,0.9
align_teacher_a09,37400,0.9
align_teacher_a09,37500,0.9
align_teacher_a09,37600,0.9
align_teacher_a09,37700,0.9
align_teacher_a09,37800,0.9
align_teacher_a09,37900,0.9
align_teacher_a09,38000,0.9
align_teacher_a09,38100,0.9
align_teacher_a09,38200,0.9
align_teacher_a09,38300,0.9
align_teacher_a09,38400,0.9
align_teacher_a09,38500,0.9
align_teacher_a09,38600,0.9
align_teacher_a09,38700,0.9
align_teacher_a09,38800,0.9
align_teacher_a09,38900,0.9
align_teacher_a09,39000,0.9
align_teacher_a09,39100,0.9
align_teacher_a09,39200,0.9
align_teacher_a09,39300,0.9
align_teacher_a09,39400,0.9
align_teacher_a09,39500,0.9
align_teacher_a09,39600,0.9
align_teacher_a09,39700,0.9
align_teacher_a09,39800,0.9
align_teacher_a09,39900,0.9
align_teacher_a09,40000,0.9
align_teacher_a09,40100,0.9
align_teacher_a09,40200,0.9
align_teacher_a09,40300,0.9
align_teacher_a09,40400,0.9
align_teacher_a09,40500,0.9
align_teacher_a09,40600,0.9
align_teacher_a09,40700,0.9
align_teacher_a09,40800,0.9
align_teacher_a09,40900,0.9
align_teacher_a09,41000,0.9
align_teacher_a09,41100,0.9
align_teacher_a09,41200,0.9
align_teacher_a09,41300,0.9
align_teacher_a09,41400,0.9
align_teacher_a09,41500,0.9
align_teacher_a09,41600,0.9
align_teacher_a09,41700,0.9
align_teacher_a09,41800,0.9
align_teacher_a09,41900,0.9
align_teacher_a09,42000,0.9
align_teacher_a09,42100,0.9
align_teacher_a09,42200,0.9
align_teacher_a09,42300,0.9
align_teacher_a09,42400,0.9
align_teacher_a09,42500,0.9
align_teacher_a09,42600,0.9
align_teacher_a09,42700,0.9
align_teacher_a09,42800,0.9
align_teacher_a09,42900,0.9
align_teacher_a09,43000,0.9
align_teacher_a09,43100,0.9
align_teacher_a09,43200,0.9
align_teacher_a09,43300,0.9
align_teacher_a09,43400,0.9
align_teacher_a09,43500,0.9
align_teacher_a09,43600,0.9
align_teacher_a09,43700,0.9
align_teacher_a09,43800,0.9
align_teacher_a09,43900,0.9
align_teacher_a09,44000,0.9
align_teacher_a09,44100,0.9
align_teacher_a09,44200,0.9
align_teacher_a09,44300,0.9
align_teacher_a09,44400,0.9
align_teacher_a09,44500,0.9
align_teacher_a09,44600,0.9
align_teacher_a09,44700,0.9
align_teacher_a09,44800,0.9
align_teacher_a09,44900,0.9
align_teacher_a09,45000,0.9
align_teacher_a09,45100,0.9
align_teacher_a09,45200,0.9
align_teacher_a09,45300,0.9
align_teacher_a09,45400,0.9
align_teacher_a09,45500,0.9
align_teacher_a09,45600,0.9
align_teacher_a09,45700,0.9
align_teacher_a09,45800,0.9
align_teacher_a09,45900,0.9
align_teacher_a09,46000,0.9
align_teacher_a09,46100,0.9
align_teacher_a09,46200,0.9
align_teacher_a09,46300,0.9
align_teacher_a09,46400,0.9
align_teacher_a09,46500,0.9
align_teacher_a09,46600,0.9
align_teacher_a09,46700,0.9
align_teacher_a09,46800,0.9
align_teacher_a09,46900,0.9
align_teacher_a09,47000,0.9
align_teacher_a09,47100,0.9
align_teacher_a09,47200,0.9
align_teacher_a09,47300,0.9
align_teacher_a09,47400,0.9
align_teacher_a09,47500,0.9
align_teacher_a09,47600,0.9
align_teacher_a09,47700,0.9
align_teacher_a09,47800,0.9
align_teacher_a09,47900,0.9
align_teacher_a09,48000,0.9
align_teacher_a09,48100,0.9
align_teacher_a09,48200,0.9
align_teacher_a09,48300,0.9
align_teacher_a09,48400,0.9
align_teacher_a09,48500,0.9
align_teacher_a09,48600,0.9
align_teacher_a09,48700,0.9
align_teacher_a09,48800,0.9
align_teacher_a09,48900,0.9
align_teacher_a09,49000,0.9
align_teacher_a09,49100,0.9
align_teacher_a09,49200,0.9
align_teacher_a09,49300,0.9
align_teacher_a09,49400,0.9
align_teacher_a09,49500,0.9
align_teacher_a09,49600,0.9
align_teacher_a09,49700,0.9
align_teacher_a09,49800,0.9
align_teacher_a09,49900,0.9
align_teacher_a09,50000,0.9
align_teacher_a09,50100,0.9
align_teacher_a09,50200,0.9
align_teacher_a09,50300,0.9
align_teacher_a09,50400,0.9
align_teacher_a09,50500,0.9
align_teacher_a09,50600,0.9
align_teacher_a09,50700,0.9
align_teacher_a09,50800,0.9
align_teacher_a09,50900,0.9
align_teacher_a09,51000,0.9
align_teacher_a09,51100,0.9
align_teacher_a09,51200,0.9
align_teacher_a09,51300,0.9
align_teacher_a09,51400,0.9
align_teacher_a09,51500,0.9
align_teacher_a09,51600,0.9
align_teacher_a09,51700,0.9
align_teacher_a09,51800,0.9
align_teacher_a09,51900,0.9
align_teacher_a09,52000,0.9
align_teacher_a09,52100,0.9
align_teacher_a09,52200,0.9
align_teacher_a09,52300,0.9
align_teacher_a09,52400,0.9
align_teacher_a09,52500,0.9
align_teacher_a09,52600,0.9
align_teacher_a09,52700,0.9
align_teacher_a09,52800,0.9
align_teacher_a09,52900,0.9
align_teacher_a09,53000,0.9
align_teacher_a09,53100,0.9
align_teacher_a09,53200,0.9
align_teacher_a09,53300,0.9
align_teacher_a09,53400,0.9
align_teacher_a09,53500,0.9
align_teacher_a09,53600,0.9
align_teacher_a09,53700,0.9
align_teacher_a09,53800,0.9
align_teacher_a09,53900,0.9
align_teacher_a09,54000,0.9
align_teacher_a09,54100,0.9
align_teacher_a09,54200,0.9
align_teacher_a09,54300,0.9
align_teacher_a09,54400,0.9
align_teacher_a09,54500,0.9
align_teacher_a09,54600,0.9
align_teacher_a09,54700,0.9
align_teacher_a09,54800,0.9
align_teacher_a09,54900,0.9
align_teacher_a09,55000,0.9
align_teacher_a09,55100,0.9
align_teacher_a09,55200,0.9
align_teacher_a09,55300,0.9
align_teacher_a09,55400,0.9
align_teacher_a09,55500,0.9
align_teacher_a09,55600,0.9
align_teacher_a09,55700,0.9
align_teacher_a09,55800,0.9
align_teacher_a09,55900,0.9
align_teacher_a09,56000,0.9
align_teacher_a09,56100,0.9
align_teacher_a09,56200,0.9
align_teacher_a09,56300,0.9
align_teacher_a09,56400,0.9
align_teacher_a09,56500,0.9
align_teacher_a09,56600,0.9
align_teacher_a09,56700,0.9
align_teacher_a09,56800,0.9
align_teacher_a09,56900,0.9
align_teacher_a09,57000,0.9
align_teacher_a09,57100,0.9
align_teacher_a09,57200,0.9
align_teacher_a09,57300,0.9
align_teacher_a09,57400,0.9
align_teacher_a09,57500,0.9
align_teacher_a09,57600,0.9
align_teacher_a09,57700,0.9
align_teacher_a09,57800,0.9
align_teacher_a09,57900,0.9
align_teacher_a09,58000,0.9
align_teacher_a09,58100,0.9
align_teacher_a09,58200,0.9
align_teacher_a09,58300,0.9
align_teacher_a09,58400,0.9
align_teacher_a09,58500,0.9
align_teacher_a09,58600,0.9
align_teacher_a09,58700,0.9
align_teacher_a09,58800,0.9
align_teacher_a09,58900,0.9
align_teacher_a09,59000,0.9
align_teacher_a09,59100,0.9
align_teacher_a09,59200,0.9
align_teacher_a09,59300,0.9
align_teacher_a09,59400,0.9
align_teacher_a09,59500,0.9
align_teacher_a09,59600,0.9
align_teacher_a09,59700,0.9
align_teacher_a09,59800,0.9
align_teacher_a09,59900,0.9
align_teacher_a09,60000,0.9
align_teacher_a09,60100,0.9
align_teacher_a09,60200,0.9
align_teacher_a09,60300,0.9
align_teacher_a09,60400,0.9
align_teacher_a09,60500,0.9
align_teacher_a09,60600,0.9
align_teacher_a09,60700,0.9
align_teacher_a09,60800,0.9
align_teacher_a09,60900,0.9
align_teacher_a09,61000,0.9
align_teacher_a09,61100,0.9
align_teacher_a09,61200,0.9
align_teacher_a09,61300,0.9
align_teacher_a09,61400,0.9
align_teacher_a09,61500,0.9
align_teacher_a09,61600,0.9
align_teacher_a09,61700,0.9
align_teacher_a09,61800,0.9
align_teacher_a09,61900,0.9
align_teacher_a09,62000,0.9
align_teacher_a09,62100,0.9
align_teacher_a09,62200,0.9
align_teacher_a09,62300,0.9
align_teacher_a09,62400,0.9
