run,arm,alpha,latent,kind,step,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
align_teacher_a09,align_teacher,const_0.9,student_h,adjacent,500,0,500,0.762229,0.553614,0.208615,0.136253
align_teacher_a09,align_teacher,const_0.9,teacher_h,adjacent,500,0,500,0.763859,0.554335,0.209524,0.136495
align_teacher_a09,align_teacher,const_0.9,student_h,adjacent,1000,500,500,0.084575,0.042113,0.042461,0.621988
align_teacher_a09,align_teacher,const_0.9,student_h,vs_initial,1000,0,1000,0.777511,0.554163,0.223349,0.166798
align_teacher_a09,align_teacher,const_0.9,teacher_h,adjacent,1000,500,500,0.088369,0.041730,0.046639,0.624262
align_teacher_a09,align_teacher,const_0.9,teacher_h,vs_initial,1000,0,1000,0.778103,0.554806,0.223297,0.162690
align_teacher_a09,align_teacher,const_0.9,student_h,adjacent,1500,1000,500,0.047438,0.024331,0.023108,0.735686
align_teacher_a09,align_teacher,const_0.9,student_h,vs_initial,1500,0,1500,0.774727,0.556111,0.218617,0.191787
align_teacher_a09,align_teacher,const_0.9,teacher_h,adjacent,1500,1000,500,0.047270,0.024714,0.022557,0.731781
align_teacher_a09,align_teacher,const_0.9,teacher_h,vs_initial,1500,0,1500,0.774509,0.555949,0.218560,0.191856
align_teacher_a09,align_teacher,const_0.9,student_h,adjacent,2000,1500,500,0.023432,0.013032,0.010400,0.861149
align_teacher_a09,align_teacher,const_0.9,student_h,vs_initial,2000,0,2000,0.776762,0.557062,0.219700,0.196512
align_teacher_a09,align_teacher,const_0.9,teacher_h,adjacent,2000,1500,500,0.022629,0.013135,0.009494,0.857463
align_teacher_a09,align_teacher,const_0.9,teacher_h,vs_initial,2000,0,2000,0.777416,0.557391,0.220025,0.197167
align_teacher_a09,align_teacher,const_0.9,student_h,adjacent,2500,2000,500,0.019488,0.010848,0.008640,0.876250
align_teacher_a09,align_teacher,const_0.9,student_h,vs_initial,2500,0,2500,0.778498,0.563730,0.214767,0.223901
align_teacher_a09,align_teacher,const_0.9,teacher_h,adjacent,2500,2000,500,0.019315,0.010669,0.008646,0.878403
align_teacher_a09,align_teacher,const_0.9,teacher_h,vs_initial,2500,0,2500,0.777948,0.563610,0.214338,0.224626
align_teacher_a09,align_teacher,const_0.9,student_h,adjacent,3000,2500,500,0.016163,0.009310,0.006854,0.848480
align_teacher_a09,align_teacher,const_0.9,student_h,vs_initial,3000,0,3000,0.782810,0.578113,0.204697,0.209271
align_teacher_a09,align_teacher,const_0.9,teacher_h,adjacent,3000,2500,500,0.015747,0.009185,0.006562,0.851210
align_teacher_a09,align_teacher,const_0.9,teacher_h,vs_initial,3000,0,3000,0.782076,0.577649,0.204427,0.209127
align_teacher_a09,align_teacher,const_0.9,student_h,adjacent,3500,3000,500,0.013191,0.006652,0.006538,0.875618
align_teacher_a09,align_teacher,const_0.9,student_h,vs_initial,3500,0,3500,0.788737,0.592761,0.195976,0.196932
align_teacher_a09,align_teacher,const_0.9,teacher_h,adjacent,3500,3000,500,0.012585,0.006749,0.005836,0.876883
align_teacher_a09,align_teacher,const_0.9,teacher_h,vs_initial,3500,0,3500,0.788891,0.592622,0.196269,0.195857
align_teacher_a09,align_teacher,const_0.9,student_h,adjacent,4000,3500,500,0.010105,0.004907,0.005198,0.884855
align_teacher_a09,align_teacher,const_0.9,student_h,vs_initial,4000,0,4000,0.796959,0.607419,0.189539,0.186227
align_teacher_a09,align_teacher,const_0.9,teacher_h,adjacent,4000,3500,500,0.010523,0.004820,0.005704,0.887357
align_teacher_a09,align_teacher,const_0.9,teacher_h,vs_initial,4000,0,4000,0.795687,0.605903,0.189784,0.189405
align_teacher_a09,align_teacher,const_0.9,student_h,adjacent,4500,4000,500,0.008385,0.003332,0.005053,0.896218
align_teacher_a09,align_teacher,const_0.9,student_h,vs_initial,4500,0,4500,0.803658,0.620571,0.183088,0.176196
align_teacher_a09,align_teacher,const_0.9,teacher_h,adjacent,4500,4000,500,0.007980,0.003454,0.004526,0.898356
align_teacher_a09,align_teacher,const_0.9,teacher_h,vs_initial,4500,0,4500,0.803731,0.620012,0.183719,0.179243
align_teacher_a09,align_teacher,const_0.9,student_h,adjacent,5000,4500,500,0.006094,0.002523,0.003571,0.904828
align_teacher_a09,align_teacher,const_0.9,student_h,vs_initial,5000,0,5000,0.808571,0.632662,0.175909,0.167836
align_teacher_a09,align_teacher,const_0.9,teacher_h,adjacent,5000,4500,500,0.005923,0.002525,0.003398,0.904041
align_teacher_a09,align_teacher,const_0.9,teacher_h,vs_initial,5000,0,5000,0.808551,0.632743,0.175808,0.169559
align_teacher_a09,align_teacher,const_0.9,student_h,adjacent,5500,5000,500,0.005063,0.001931,0.003132,0.891962
align_teacher_a09,align_teacher,const_0.9,student_h,vs_initial,5500,0,5500,0.815323,0.642861,0.172462,0.184596
align_teacher_a09,align_teacher,const_0.9,teacher_h,adjacent,5500,5000,500,0.004466,0.001824,0.002642,0.899361
align_teacher_a09,align_teacher,const_0.9,teacher_h,vs_initial,5500,0,5500,0.814500,0.643014,0.171487,0.182255
align_teacher_a09,align_teacher,const_0.9,student_h,adjacent,6000,5500,500,0.003292,0.001110,0.002182,0.914047
align_teacher_a09,align_teacher,const_0.9,student_h,vs_initial,6000,0,6000,0.818195,0.652219,0.165975,0.174790
align_teacher_a09,align_teacher,const_0.9,teacher_h,adjacent,6000,5500,500,0.003190,0.001072,0.002118,0.918214
align_teacher_a09,align_teacher,const_0.9,teacher_h,vs_initial,6000,0,6000,0.818143,0.651933,0.166210,0.176527
align_teacher_a09,align_teacher,const_0.9,student_h,adjacent,6500,6000,500,0.002648,0.000624,0.002024,0.925983
align_teacher_a09,align_teacher,const_0.9,student_h,vs_initial,6500,0,6500,0.820144,0.659218,0.160926,0.153287
align_teacher_a09,align_teacher,const_0.9,teacher_h,adjacent,6500,6000,500,0.002527,0.000604,0.001923,0.928325
align_teacher_a09,align_teacher,const_0.9,teacher_h,vs_initial,6500,0,6500,0.819941,0.659105,0.160836,0.149167
align_teacher_a09,align_teacher,const_0.9,student_h,adjacent,7000,6500,500,0.002139,0.000415,0.001723,0.936159
align_teacher_a09,align_teacher,const_0.9,student_h,vs_initial,7000,0,7000,0.821127,0.664644,0.156482,0.131285
align_teacher_a09,align_teacher,const_0.9,teacher_h,adjacent,7000,6500,500,0.001999,0.000425,0.001575,0.937541
align_teacher_a09,align_teacher,const_0.9,teacher_h,vs_initial,7000,0,7000,0.820487,0.664633,0.155854,0.133615
align_teacher_a09,align_teacher,const_0.9,student_h,adjacent,7500,7000,500,0.001619,0.000265,0.001354,0.948933
align_teacher_a09,align_teacher,const_0.9,student_h,vs_initial,7500,0,7500,0.821624,0.669122,0.152502,0.105918
align_teacher_a09,align_teacher,const_0.9,teacher_h,adjacent,7500,7000,500,0.001573,0.000255,0.001318,0.948760
align_teacher_a09,align_teacher,const_0.9,teacher_h,vs_initial,7500,0,7500,0.821549,0.669055,0.152494,0.109127
align_teacher_a09,align_teacher,const_0.9,student_h,adjacent,8000,7500,500,0.001387,0.000215,0.001171,0.941827
align_teacher_a09,align_teacher,const_0.9,student_h,vs_initial,8000,0,8000,0.823313,0.672051,0.151262,0.084317
align_teacher_a09,align_teacher,const_0.9,teacher_h,adjacent,8000,7500,500,0.001346,0.000196,0.001150,0.946010
align_teacher_a09,align_teacher,const_0.9,teacher_h,vs_initial,8000,0,8000,0.823150,0.672097,0.151053,0.082169
align_teacher_a09,align_teacher,const_0.9,student_h,adjacent,8500,8000,500,0.001089,0.000144,0.000945,0.974118
align_teacher_a09,align_teacher,const_0.9,student_h,vs_initial,8500,0,8500,0.825060,0.674148,0.150912,0.075628
align_teacher_a09,align_teacher,const_0.9,teacher_h,adjacent,8500,8000,500,0.001084,0.000147,0.000937,0.975383
