arm,recipe,step,ckpt_kind,backbone_ckpt,u_batchtime,u_batchtime_e
emb100_enc10,"λ_e=10.0, λ_h=1.0",5000,step_5000,../contrastive-forecasting-363/experiments/2026-06-24_sigreg_lambda_sweep/runs/bb_allt08_xftrip_nobn_enc3_emateach_sigreg_qk_aon_b512_cpc_emb100_enc10_5k.pth,0.658914,0.014282
emb100_enc10,"λ_e=10.0, λ_h=1.0",7500,step_7500,../contrastive-forecasting-363/experiments/2026-06-24_sigreg_lambda_sweep/runs/bb_allt08_xftrip_nobn_enc3_emateach_sigreg_qk_aon_b512_cpc_emb100_enc10_7k.pth,0.755780,0.022734
emb100_enc10,"λ_e=10.0, λ_h=1.0",10000,step_10000,../contrastive-forecasting-363/experiments/2026-06-24_sigreg_lambda_sweep/runs/bb_allt08_xftrip_nobn_enc3_emateach_sigreg_qk_aon_b512_cpc_emb100_enc10_10k.pth,0.766818,0.043731
emb100_enc10,"λ_e=10.0, λ_h=1.0",12500,step_12500,../contrastive-forecasting-363/experiments/2026-06-24_sigreg_lambda_sweep/runs/bb_allt08_xftrip_nobn_enc3_emateach_sigreg_qk_aon_b512_cpc_emb100_enc10_12k.pth,0.768897,0.051385
emb100_enc10,"λ_e=10.0, λ_h=1.0",1400,best_loss,../contrastive-forecasting-363/experiments/2026-06-24_sigreg_lambda_sweep/runs/bb_allt08_xftrip_nobn_enc3_emateach_sigreg_qk_aon_b512_cpc_emb100_enc10_best_loss.pth,0.353496,0.013128
emb100_enc10,"λ_e=10.0, λ_h=1.0",12500,best_gap,../contrastive-forecasting-363/experiments/2026-06-24_sigreg_lambda_sweep/runs/bb_allt08_xftrip_nobn_enc3_emateach_sigreg_qk_aon_b512_cpc_emb100_enc10_best_gap.pth,0.768897,0.051385
emb100_enc10,"λ_e=10.0, λ_h=1.0",12500,final,../contrastive-forecasting-363/experiments/2026-06-24_sigreg_lambda_sweep/runs/bb_allt08_xftrip_nobn_enc3_emateach_sigreg_qk_aon_b512_cpc_emb100_enc10_final.pth,0.768897,0.051385
emb100_enc10,"λ_e=10.0, λ_h=1.0",,FINAL,../contrastive-forecasting-363/experiments/2026-06-24_sigreg_lambda_sweep/runs/bb_allt08_xftrip_nobn_enc3_emateach_sigreg_qk_aon_b512_cpc_emb100_enc10_FINAL.pth,0.353496,0.013128
emb100_enc100,"λ_e=10.0, λ_h=10.0",2500,step_2500,../contrastive-forecasting-363/experiments/2026-06-24_sigreg_lambda_sweep/runs/bb_allt08_xftrip_nobn_enc3_emateach_sigreg_qk_aon_b512_cpc_emb100_enc100_2k.pth,0.590478,0.016943
emb100_enc100,"λ_e=10.0, λ_h=10.0",5000,step_5000,../contrastive-forecasting-363/experiments/2026-06-24_sigreg_lambda_sweep/runs/bb_allt08_xftrip_nobn_enc3_emateach_sigreg_qk_aon_b512_cpc_emb100_enc100_5k.pth,0.739520,0.029089
