step,latent,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
9500,student_h,vs_initial,0,9500,0.827024,0.677339,0.149685,0.047255
9500,teacher_h,adjacent,9000,500,0.000978,0.000083,0.000895,0.984683
9500,teacher_h,vs_initial,0,9500,0.827021,0.677373,0.149647,0.046552
10000,student_h,adjacent,9500,500,0.000951,0.000078,0.000873,0.986597
10000,student_h,vs_initial,0,10000,0.828631,0.678266,0.150365,0.038679
10000,teacher_h,adjacent,9500,500,0.000880,0.000070,0.000810,0.987873
10000,teacher_h,vs_initial,0,10000,0.828522,0.678200,0.150322,0.039398
10500,student_h,adjacent,10000,500,0.000837,0.000062,0.000774,0.989988
10500,student_h,vs_initial,0,10500,0.830066,0.678788,0.151278,0.034515
10500,teacher_h,adjacent,10000,500,0.000786,0.000060,0.000726,0.990615
10500,teacher_h,vs_initial,0,10500,0.829898,0.678722,0.151177,0.034342
11000,student_h,adjacent,10500,500,0.000912,0.000065,0.000847,0.987903
11000,student_h,vs_initial,0,11000,0.831250,0.679365,0.151885,0.029203
11000,teacher_h,adjacent,10500,500,0.000862,0.000057,0.000805,0.990353
11000,teacher_h,vs_initial,0,11000,0.831326,0.679382,0.151944,0.029996
11500,student_h,adjacent,11000,500,0.000832,0.000068,0.000764,0.984982
11500,student_h,vs_initial,0,11500,0.833998,0.679507,0.154491,0.032083
11500,teacher_h,adjacent,11000,500,0.000799,0.000060,0.000739,0.987263
11500,teacher_h,vs_initial,0,11500,0.834306,0.679519,0.154787,0.031630
12000,student_h,adjacent,11500,500,0.000719,0.000055,0.000664,0.990549
12000,student_h,vs_initial,0,12000,0.836417,0.679669,0.156747,0.031036
12000,teacher_h,adjacent,11500,500,0.000717,0.000051,0.000666,0.990861
12000,teacher_h,vs_initial,0,12000,0.836473,0.679687,0.156787,0.031227
12500,student_h,adjacent,12000,500,0.000784,0.000063,0.000721,0.987981
12500,student_h,vs_initial,0,12500,0.838496,0.680053,0.158442,0.030935
12500,teacher_h,adjacent,12000,500,0.000765,0.000057,0.000708,0.988128
12500,teacher_h,vs_initial,0,12500,0.838649,0.680126,0.158523,0.030698
13000,student_h,adjacent,12500,500,0.000693,0.000066,0.000627,0.982186
13000,student_h,vs_initial,0,13000,0.840111,0.680106,0.160005,0.030695
13000,teacher_h,adjacent,12500,500,0.000670,0.000063,0.000607,0.984890
13000,teacher_h,vs_initial,0,13000,0.839948,0.680078,0.159869,0.030100
13500,student_h,adjacent,13000,500,0.000673,0.000074,0.000599,0.983867
13500,student_h,vs_initial,0,13500,0.841466,0.680110,0.161356,0.031140
13500,teacher_h,adjacent,13000,500,0.000683,0.000071,0.000611,0.984891
13500,teacher_h,vs_initial,0,13500,0.841415,0.680108,0.161307,0.030585
