head,domain,tasks,delta,ci_lo,ci_hi,reliable
2L,Healthcare,5,-0.2011,-0.5510,-0.0306,1
2L,Econ/Fin,6,-0.0838,-0.3253,0.0105,0
2L,Transport,15,-0.0353,-0.0587,-0.0123,1
2L,Energy,32,-0.0040,-0.0643,0.0637,0
2L,Sales,4,0.0162,-0.0102,0.0429,0
2L,Nature,15,0.0072,-0.0091,0.0274,0
2L,Web/CloudOps,20,0.0318,0.0099,0.0626,1
6L,Healthcare,5,-0.2670,-0.6870,-0.0308,1
6L,Econ/Fin,6,-0.0725,-0.2779,0.0139,0
6L,Transport,15,-0.0327,-0.0527,-0.0139,1
6L,Energy,32,-0.0210,-0.0728,0.0344,0
6L,Sales,4,0.0137,-0.0210,0.0494,0
6L,Nature,15,0.0164,0.0056,0.0297,1
6L,Web/CloudOps,20,0.0683,0.0356,0.1162,1
