cell,stop,branch,extend,heads_next
arm6_v2_combab_alignS,40000,unconditional,1,student teacher
arm6_v2_nse_alignS,40000,unconditional,1,student teacher
arm6_v2_combab_alignT,40000,unconditional,1,student teacher
