step,loss,loss_tau_ref,gap,gap_ratio,ff,fp,tp,cross_batch,hf_rows_consumed,synth_rows_consumed,mixup_applied,r2_random,r2_naive,u_temporal,u_batch,auc,top1,top3,cpc_aux,sigreg_e,sigreg_h,u_temporal_e,u_batch_e,u_batchtime,u_batchtime_e
1,16.295146942138672,14.987540245056152,-0.4076400399208069,2.5644621357553175,0.3317975401878357,0.7394375801086426,0.44799208641052246,0.14624519646167755,64,0,1,0.1694621443748474,-0.22496557235717773,0.10530371963977814,0.14576907455921173,0.7720170021057129,0.06648575514554977,0.14762552082538605,5.838426113128662,0.057214654982089996,0.2779731750488281,0.04427076876163483,0.04711572080850601,0.15668244659900665,0.0475224107503891
2,15.577813148498535,13.805195808410645,-0.4185015857219696,2.907887582507074,0.3621450364589691,0.7806466221809387,0.4285617470741272,0.1770717352628708,128,0,0,0.18469882011413574,-0.12261712551116943,0.11194903403520584,0.16583523154258728,0.787623941898346,0.06892809271812439,0.13758480548858643,5.391490936279297,0.0538698248565197,0.2770094573497772,0.05063869059085846,0.048552725464105606,0.1773538440465927,0.04913640022277832
3,14.034469604492188,13.128016471862793,-0.3831048607826233,2.9815830323546324,0.4235624074935913,0.8066672682762146,0.44799068570137024,0.19054707884788513,192,0,0,0.2698177099227905,-0.046792030334472656,0.10808411985635757,0.1685878336429596,0.822238028049469,0.07978290319442749,0.17204885184764862,5.03330659866333,0.05773147940635681,0.2621859908103943,0.04152088612318039,0.04408806189894676,0.1829051673412323,0.044462867081165314
4,13.56177043914795,13.11192512512207,-0.43591728806495667,3.157945650945548,0.3620770275592804,0.7979943156242371,0.3629835844039917,0.14496149122714996,256,0,1,0.2930365204811096,-0.0017571449279785156,0.14626668393611908,0.216210275888443,0.8103317022323608,0.058073271065950394,0.13161465525627136,4.939072132110596,0.05665130168199539,0.23386941850185394,0.0499916635453701,0.04820163920521736,0.24383875727653503,0.04916701093316078
5,13.338786125183105,13.602290153503418,-0.37902551889419556,2.8784905651459414,0.41920316219329834,0.7982286810874939,0.43519943952560425,0.15880616009235382,320,0,0,0.32014745473861694,-0.029971957206726074,0.13096502423286438,0.21248389780521393,0.8392953276634216,0.10556309670209885,0.22170963883399963,4.865376949310303,0.05896200239658356,0.2354169487953186,0.050581809133291245,0.05480971932411194,0.23027358949184418,0.0551757737994194
6,12.657027244567871,12.629258155822754,-0.42541661858558655,2.9957191886157455,0.36141881346702576,0.7868354320526123,0.35695087909698486,0.10178260505199432,384,0,1,0.293268084526062,0.00635075569152832,0.15277697145938873,0.2601250410079956,0.8471763730049133,0.0765264630317688,0.1842605173587799,4.716495037078857,0.049500882625579834,0.22224438190460205,0.05548642948269844,0.05577058717608452,0.2945142388343811,0.05707671865820885
7,12.219806671142578,12.338446617126465,-0.4172561764717102,2.9341500693767912,0.36701279878616333,0.7842689752578735,0.3538372218608856,0.11070527136325836,448,0,0,0.3200035095214844,0.02043813467025757,0.15842272341251373,0.2823217511177063,0.833130955696106,0.09606513381004333,0.19077341258525848,4.6389899253845215,0.05121874436736107,0.21695822477340698,0.05783843249082565,0.05579249560832977,0.31028851866722107,0.0560896061360836
8,12.156842231750488,12.454538345336914,-0.4231734871864319,2.881441218551653,0.3519066572189331,0.775080144405365,0.3390137553215027,0.07775120437145233,512,0,1,0.32578784227371216,0.01858377456665039,0.16130733489990234,0.30918678641319275,0.8481847047805786,0.10556309670209885,0.19945727288722992,4.591831207275391,0.04600735008716583,0.20497825741767883,0.05618385225534439,0.06032323092222214,0.3407767713069916,0.06069064140319824
9,11.842710494995117,12.40604305267334,-0.40340763330459595,2.803427762907736,0.3729029893875122,0.7763106226921082,0.35968002676963806,0.0777173638343811,576,0,0,0.31629782915115356,0.02038133144378662,0.16111227869987488,0.315763920545578,0.8748695254325867,0.12998643517494202,0.23826323449611664,4.510681629180908,0.04416336864233017,0.21328625082969666,0.07265866547822952,0.07145406305789948,0.3410584628582001,0.07164963334798813
10,11.504499435424805,12.329085350036621,-0.3726057708263397,2.550178618190042,0.38703110814094543,0.7596368789672852,0.38465023040771484,0.07787705212831497,640,0,0,0.3401588201522827,0.0029320716857910156,0.1683381199836731,0.3220375180244446,0.874138593673706,0.16173677146434784,0.28792402148246765,4.4276227951049805,0.050115544348955154,0.20263037085533142,0.0659092366695404,0.07114320993423462,0.34155720472335815,0.07094178348779678
