step,loss,loss_tau_ref,gap,gap_ratio,ff,fp,tp,cross_batch,hf_rows_consumed,synth_rows_consumed,mixup_applied,r2_random,r2_naive,u_temporal,u_batch,auc,top1,top3,cpc_aux,sigreg_e,sigreg_h,u_temporal_e,u_batch_e,u_batchtime,u_batchtime_e
40200,3.616037368774414,5.023421287536621,0.7381798103451729,0.31557287592826944,0.6596430540084839,-0.078536756336689,-0.07483188807964325,0.0021619610488414764,2572800,0,0,0.6589445471763611,0.6828217506408691,0.8757084012031555,0.9088404178619385,0.9999784231185913,0.995115339756012,0.9997286796569824,0.05024078115820885,0.0008106783498078585,3.0985007470007986e-05,0.13269056379795074,0.1456337571144104,0.9692531824111938,0.1493595838546753
40400,3.566331624984741,5.018261432647705,0.7317012697458267,0.31887055972773043,0.657454252243042,-0.07424701750278473,-0.07142990082502365,0.0006163871730677783,2585600,0,0,0.6586595475673676,0.679843932390213,0.8843811750411987,0.9074089527130127,0.9999794960021973,0.9964722394943237,0.9994572997093201,0.027845822274684906,0.000779965368565172,2.8790336727979593e-05,0.13371112942695618,0.1481015682220459,0.9516814947128296,0.1497950255870819
40600,3.571714401245117,5.0142340660095215,0.7477791085839272,0.30870596291896046,0.6660699248313904,-0.08170918375253677,-0.07009290903806686,0.001886271988041699,2598400,0,1,0.664981484413147,0.6875129640102386,0.8923986554145813,0.8762346506118774,0.9999929070472717,0.9983718395233154,1.0,0.045740462839603424,0.0007442627102136612,4.109855944989249e-05,0.13328778743743896,0.13870206475257874,0.9477978348731995,0.1436183601617813
40800,3.692596673965454,5.168454647064209,0.7350198328495026,0.31969551657306144,0.6545920968055725,-0.08042773604393005,-0.07347243279218674,0.0019280539127066731,2611200,0,0,0.6489937603473663,0.6778439581394196,0.8720146417617798,0.9096317291259766,0.9999784231185913,0.9948440194129944,0.9997286796569824,0.059011660516262054,0.0007620371179655194,2.8730846679536626e-05,0.13826273381710052,0.15024517476558685,0.9675856828689575,0.15393266081809998
41000,3.5377039909362793,4.914464950561523,0.7572686895728111,0.30357482383809,0.6699032187461853,-0.08736547082662582,-0.07952045649290085,0.000591333257034421,2624000,0,0,0.6654947400093079,0.693825900554657,0.8236764669418335,0.9031155705451965,0.9999856352806091,0.9964722394943237,1.0,0.051425352692604065,0.0007848422974348068,2.8927363018738106e-05,0.12934499979019165,0.1535513997077942,0.9581551551818848,0.15499193966388702
41200,3.801436424255371,5.406093597412109,0.750360831618309,0.31317885507683885,0.6578481197357178,-0.09251271188259125,-0.08443938195705414,0.0028326320461928844,2636800,0,0,0.6520633101463318,0.6841471791267395,0.8497766256332397,0.8986429572105408,0.9999609589576721,0.9905020594596863,0.9997286796569824,0.08361802995204926,0.0008884986746124923,3.370679041836411e-05,0.1372312307357788,0.1516844928264618,0.9623493552207947,0.1542692929506302
41400,3.8568546772003174,5.524595260620117,0.7138645350933075,0.32400967522784563,0.6578367948532104,-0.056027740240097046,-0.04534346982836723,0.003470210824161768,2649600,0,1,0.6574365198612213,0.6722276508808136,0.8619586229324341,0.8003544807434082,0.9999918341636658,0.9978290796279907,1.0,0.19360166788101196,0.0008723734645172954,3.1173018214758486e-05,0.12971684336662292,0.15020135045051575,0.964373767375946,0.15722247958183289
41600,3.532520294189453,4.900773048400879,0.7540469989180565,0.30802467653129245,0.664344847202301,-0.08970215171575546,-0.08123964071273804,0.0004034436715301126,2662400,0,0,0.6588961184024811,0.6891399323940277,0.8542584776878357,0.9182987213134766,0.9999794960021973,0.9964722394943237,0.9994572997093201,0.025449294596910477,0.0008617195999249816,2.6957162845064886e-05,0.1319541484117508,0.1527191400527954,0.9627276659011841,0.1545533835887909
41800,3.6231439113616943,5.101564407348633,0.737866036593914,0.3170578470047347,0.6574435830116272,-0.08042245358228683,-0.07180601358413696,0.0008832018356770277,2675200,0,0,0.6431752443313599,0.6799670159816742,0.9119918346405029,0.9031288623809814,0.9999784231185913,0.9962008595466614,0.9997286796569824,0.048291027545928955,0.000880097271874547,2.9043876565992832e-05,0.13832977414131165,0.14652004837989807,0.9714875817298889,0.14941370487213135
42000,3.752075672149658,5.244220733642578,0.7317754477262497,0.319227339146093,0.6568564772605896,-0.0749189704656601,-0.0668577328324318,0.0022044111974537373,2688000,0,0,0.6504863500595093,0.6779839396476746,0.8776845932006836,0.8986361026763916,0.9999609589576721,0.9948440194129944,0.9994572997093201,0.09806455671787262,0.0008825616678223014,2.7558926376514137e-05,0.1333635151386261,0.14837507903575897,0.9730473160743713,0.15197163820266724
42200,3.84063458442688,5.320775985717773,0.7301205769181252,0.32802900354642106,0.6435847282409668,-0.08653584867715836,-0.07803076505661011,0.0030218283645808697,2700800,0,0,0.6266510486602783,0.6690409779548645,0.8492079973220825,0.910275936126709,0.9999116659164429,0.9907734394073486,0.9989145398139954,0.061213430017232895,0.0007410399266518652,4.158190859016031e-05,0.1371895670890808,0.15866553783416748,0.955643355846405,0.15882156789302826
42400,3.827336549758911,5.390933513641357,0.7311312779784203,0.31592416562668285,0.6623443961143494,-0.06878688186407089,-0.06350670754909515,0.005066595505923033,2713600,0,1,0.6554140150547028,0.6818767488002777,0.8999248743057251,0.8021286129951477,0.9999929070472717,0.998643159866333,1.0,0.16145163774490356,0.000961805519182235,3.274578557466157e-05,0.13194741308689117,0.13399416208267212,0.9599509239196777,0.142286017537117
42600,3.896437168121338,5.510463714599609,0.7397710382938385,0.3216440120290924,0.6492359042167664,-0.09053513407707214,-0.08458156883716583,0.0030507429037243128,2726400,0,1,0.6406869292259216,0.6761296987533569,0.865687906742096,0.8277029395103455,0.9999743103981018,0.9962008595466614,0.9991859197616577,0.13149166107177734,0.0008338748011738062,3.0774870538152754e-05,0.13519690930843353,0.14566169679164886,0.9606587886810303,0.15101785957813263
42800,3.8801238536834717,5.446992874145508,0.717879980802536,0.3254809598478113,0.6535957455635071,-0.06428423523902893,-0.06027257815003395,0.004270520526915789,2739200,0,1,0.6482501924037933,0.6727026104927063,0.9074055552482605,0.8035459518432617,0.9999784231185913,0.9956580996513367,0.9997286796569824,0.153194859623909,0.0008980737766250968,3.506849316181615e-05,0.14086903631687164,0.14197739958763123,0.9701142311096191,0.15117909014225006
43000,3.8680272102355957,5.612645626068115,0.7258271053433418,0.32389685133041013,0.652282178401947,-0.0735449269413948,-0.06357257813215256,0.004439821932464838,2752000,0,1,0.645977795124054,0.6726231575012207,0.8734877705574036,0.8026466965675354,0.9999352693557739,0.9883310794830322,0.9997286796569824,0.16940756142139435,0.0008485321886837482,3.354836007929407e-05,0.13145509362220764,0.14016757905483246,0.9649707078933716,0.14819011092185974
43200,3.5830512046813965,4.984973907470703,0.7348009943962097,0.3175249701885677,0.6581301093101501,-0.07667088508605957,-0.06987322121858597,0.0007525768014602363,2764800,0,0,0.6525865495204926,0.679935097694397,0.9200121164321899,0.9196087121963501,0.9999887943267822,0.9978290796279907,0.9997286796569824,0.02928887866437435,0.0008223384502343833,2.518477413104847e-05,0.1369764655828476,0.1422215700149536,0.9711610078811646,0.14464183151721954
43400,3.7940752506256104,5.492289066314697,0.7111505046486855,0.32379857182644295,0.6594660878181458,-0.0516844168305397,-0.039755482226610184,0.003830735804513097,2777600,0,1,0.6596063673496246,0.671955943107605,0.8837512135505676,0.8070250749588013,0.9999815821647644,0.9962008595466614,1.0,0.16155917942523956,0.0010036173043772578,3.08109556499403e-05,0.12831369042396545,0.13705112040042877,0.9674070477485657,0.1452537178993225
43600,3.586552858352661,5.012783050537109,0.7126526869833469,0.31904925002699136,0.6660972833633423,-0.046555403620004654,-0.03994772583246231,0.0011413820320740342,2790400,0,0,0.6622960269451141,0.6785401105880737,0.8610570430755615,0.9089908599853516,0.9999733567237854,0.994572639465332,0.9997286796569824,0.04312511533498764,0.0009289109148085117,2.6624897145666182e-05,0.12790051102638245,0.14199087023735046,0.947489857673645,0.14376164972782135
43800,3.7997915744781494,5.351487636566162,0.708367109298706,0.32794745557199373,0.6543318033218384,-0.054035305976867676,-0.043248288333415985,0.004007233306765556,2803200,0,1,0.6533632874488831,0.6681839227676392,0.8879844546318054,0.8349423408508301,0.9999774694442749,0.995115339756012,0.9997286796569824,0.13263961672782898,0.0009243396343663335,2.7763362595578656e-05,0.13537204265594482,0.14697903394699097,0.9732921123504639,0.15596604347229004
44000,3.678680896759033,5.3059258460998535,0.7152956947684288,0.3226380397319882,0.659293532371521,-0.056002162396907806,-0.04672175273299217,0.0009348575258627534,2816000,0,0,0.654714971780777,0.6738639175891876,0.790285587310791,0.9223160743713379,0.999946653842926,0.9921302795410156,0.9994572997093201,0.06525012105703354,0.0008811484440229833,3.19108585244976e-05,0.12016689032316208,0.15459558367729187,0.9595728516578674,0.1557272970676422
44200,3.905139207839966,5.519556522369385,0.7365501597523689,0.3154460223705568,0.6605938673019409,-0.07595629245042801,-0.06750191748142242,0.0047937119379639626,2828800,0,1,0.651170164346695,0.6813253462314606,0.8773922920227051,0.8174071311950684,0.9999671578407288,0.993758499622345,0.9994572997093201,0.17141582071781158,0.0008945282315835357,2.4688670237082988e-05,0.13151338696479797,0.13902181386947632,0.962317168712616,0.14680488407611847
44400,3.615772008895874,5.058965682983398,0.7246445491909981,0.319892042148086,0.6591599583625793,-0.06548459082841873,-0.059787143021821976,0.0006873996462672949,2841600,0,0,0.658003956079483,0.6776778399944305,0.8833500742912292,0.9072583913803101,0.9999846816062927,0.997286319732666,0.9997286796569824,0.046247344464063644,0.0008115884265862405,2.5988509150920436e-05,0.13237157464027405,0.14460963010787964,0.973063051700592,0.1475125402212143
44600,3.6204304695129395,5.13910436630249,0.7332694828510284,0.3143117521999862,0.663877546787262,-0.06939193606376648,-0.06526616215705872,0.0025681511033326387,2854400,0,1,0.6624251008033752,0.6839077174663544,0.888798713684082,0.8825953602790833,0.9999866485595703,0.9964722394943237,1.0,0.07199603319168091,0.0008312062127515674,2.579206193331629e-05,0.13489709794521332,0.13867036998271942,0.9615297913551331,0.1433737874031067
44800,3.7960283756256104,5.183483123779297,0.7241347283124924,0.330081299356003,0.643205463886261,-0.08092926442623138,-0.07145922631025314,0.0009679303620941937,2867200,0,0,0.6268019080162048,0.666410505771637,0.8945667147636414,0.925722062587738,0.9999630451202393,0.9964722394943237,0.9994572997093201,0.03297673165798187,0.0008465290302410722,3.2165520678972825e-05,0.1386226862668991,0.15389226377010345,0.9728412628173828,0.15552102029323578
45000,3.7727630138397217,5.184941291809082,0.7301615476608276,0.32551846377319416,0.6476092338562012,-0.08255231380462646,-0.07390522956848145,0.0017106973100453615,2880000,0,0,0.6361711621284485,0.671244204044342,0.8878806829452515,0.9170709848403931,0.9999938607215881,0.9983718395233154,1.0,0.042205244302749634,0.0009172296850010753,2.9907885618740693e-05,0.14044055342674255,0.15143992006778717,0.9733592867851257,0.15339963138103485
45200,3.6182355880737305,5.017683029174805,0.7228718921542168,0.3212344312239615,0.6578916907310486,-0.06498020142316818,-0.060466282069683075,0.0006305224378593266,2892800,0,0,0.6550242304801941,0.6767195165157318,0.9006824493408203,0.9252287149429321,0.9999836087226868,0.9962008595466614,1.0,0.03997550159692764,0.0009060157462954521,2.578455132606905e-05,0.13154658675193787,0.13921968638896942,0.9740807414054871,0.1417316198348999
45400,3.7322301864624023,5.313533306121826,0.7415142357349396,0.31788931072688625,0.6544263958930969,-0.08708783984184265,-0.08164463192224503,0.0024546384811401367,2905600,0,0,0.6392022669315338,0.6798842251300812,0.8915281295776367,0.8828822374343872,0.9999825358390808,0.9953867197036743,1.0,0.08043485134840012,0.0010257132817059755,2.785030665108934e-05,0.12699389457702637,0.1358780413866043,0.965527355670929,0.13841108977794647
45600,3.8084940910339355,5.512639045715332,0.7165042534470558,0.32142398969763386,0.6606103777885437,-0.055893875658512115,-0.05012687295675278,0.006817586719989777,2918400,0,1,0.653051882982254,0.6762253642082214,0.8787983059883118,0.7960525751113892,0.9999723434448242,0.9953867197036743,0.9994572997093201,0.19168078899383545,0.000943228485994041,4.568765143631026e-05,0.12404589354991913,0.13359913229942322,0.9662652015686035,0.1422087699174881
45800,3.5916364192962646,5.009110927581787,0.7288780957460403,0.32036286825149424,0.6564262509346008,-0.07245184481143951,-0.07022479921579361,0.0012499222066253424,2931200,0,0,0.645044595003128,0.6780762076377869,0.8710353374481201,0.9150345921516418,0.9999907612800598,0.9975576996803284,1.0,0.03224489092826843,0.0008866644348017871,3.041214768018108e-05,0.12937645614147186,0.14407804608345032,0.965120792388916,0.14541643857955933
46000,3.6955153942108154,5.15280818939209,0.7274220287799835,0.3234247287952238,0.6522688865661621,-0.07515314221382141,-0.06866277754306793,0.0005221686442382634,2944000,0,0,0.6518200933933258,0.6736846566200256,0.8897472620010376,0.9155905842781067,0.9999877214431763,0.9970149397850037,1.0,0.04797022044658661,0.0010276752291247249,2.431198299746029e-05,0.13213995099067688,0.1439220905303955,0.9737595915794373,0.14521938562393188
46200,3.7053158283233643,5.34739875793457,0.7269238159060478,0.3137109464440179,0.6677144169807434,-0.05920939892530441,-0.05550447478890419,0.0032782398629933596,2956800,0,1,0.6690961122512817,0.6841593384742737,0.8421217203140259,0.8172934651374817,0.9999805688858032,0.997286319732666,0.9994572997093201,0.133479043841362,0.0009427336044609547,3.711492536240257e-05,0.12454850971698761,0.13672788441181183,0.956587016582489,0.14260582625865936
