step,loss,loss_tau_ref,gap,gap_ratio,ff,fp,tp,cross_batch,hf_rows_consumed,synth_rows_consumed,mixup_applied,r2_random,r2_naive,u_temporal,u_batch,auc,top1,top3,cpc_aux,sigreg_e,sigreg_h,u_temporal_e,u_batch_e,u_batchtime,u_batchtime_e,ema_tau
40200,12.756824493408203,17.85209083557129,0.9561110120266676,0.0618602512855951,0.9369547367095947,-0.01915627531707287,-0.04210813716053963,0.014749053865671158,2572800,0,0,0.935795970261097,0.939236480742693,0.19779165089130402,0.2381790727376938,0.9999989867210388,0.9997286796569824,1.0,0.018330220133066177,0.0004116978670936078,0.0009449354838579893,0.1570090353488922,0.1720457524061203,0.25732916593551636,0.17779184877872467,0.9
40400,12.746743202209473,17.836458206176758,0.9425143487751484,0.06239063207520645,0.9372829794883728,-0.005231369286775589,-0.018128417432308197,0.011538861319422722,2585600,0,0,0.9365313574671745,0.9381031394004822,0.20571796596050262,0.24505668878555298,0.9999989867210388,0.9997286796569824,1.0,0.0016593047184869647,0.0003903438337147236,0.0009349910542368889,0.1589762419462204,0.17762918770313263,0.261487752199173,0.1806635707616806,0.9
40600,12.762999534606934,17.933382034301758,0.931020868010819,0.060829055998626355,0.9396988153457642,0.008677947334945202,-0.012765033170580864,0.013607165776193142,2598400,0,1,0.93858527764678,0.9403290264308453,0.20953570306301117,0.23903872072696686,1.0,1.0,1.0,0.013231862336397171,0.0004553383041638881,0.0009962546173483133,0.15647688508033752,0.1544504165649414,0.26044830679893494,0.1612159013748169,0.9
40800,12.763254165649414,17.987136840820312,0.9551610201597214,0.0604499018738287,0.9385457038879395,-0.01661531627178192,-0.03260359913110733,0.02046887017786503,2611200,0,0,0.9364305660128593,0.9404037222266197,0.20477992296218872,0.24408778548240662,1.0,1.0,1.0,0.012159767560660839,0.000430175568908453,0.0013618518132716417,0.15744344890117645,0.1667996048927307,0.2616438865661621,0.17164203524589539,0.9
41000,12.766315460205078,17.932567596435547,0.9321612222120166,0.057762814559467454,0.9428548812866211,0.010693659074604511,-0.01663941517472267,0.024912631139159203,2624000,0,0,0.940351489931345,0.9435669332742691,0.197488933801651,0.23571889102458954,0.9999979734420776,0.9997286796569824,1.0,0.012019692920148373,0.00046457676216959953,0.0012084196787327528,0.14281269907951355,0.16653141379356384,0.25594645738601685,0.1704062670469284,0.9
41200,12.770017623901367,17.9725341796875,0.9713510200381279,0.059703521907866625,0.9383246898651123,-0.033026330173015594,-0.04761836305260658,0.02865041233599186,2636800,0,0,0.93509641289711,0.9409576021134853,0.2221595048904419,0.2400408834218979,0.9999959468841553,0.9989145398139954,1.0,0.02870175987482071,0.00047577754594385624,0.0008557889377698302,0.15300783514976501,0.1654689610004425,0.2604416608810425,0.17042741179466248,0.9
41400,12.814291000366211,18.034866333007812,0.9274838408455253,0.05980924623320809,0.9409990906715393,0.013515249826014042,0.006688609719276428,0.03037492372095585,2649600,0,1,0.9400087669491768,0.9404997415840626,0.22708086669445038,0.2313937395811081,0.9999989867210388,0.9997286796569824,1.0,0.07275556772947311,0.0004628643218893558,0.0011011792812496424,0.14652377367019653,0.1543251872062683,0.26251882314682007,0.16388262808322906,0.9
41600,12.746501922607422,17.8319034576416,0.953162033110857,0.05905790383960113,0.9401751160621643,-0.012986917048692703,-0.025656582787632942,0.019684815779328346,2662400,0,0,0.9385963790118694,0.9415447004139423,0.21287237107753754,0.24477626383304596,1.0,1.0,1.0,0.0046200500801205635,0.0004376458819024265,0.0011659744195640087,0.14766524732112885,0.17282043397426605,0.2604711055755615,0.17396946251392365,0.9
41800,12.766576766967773,17.890710830688477,0.9560690522193909,0.055945777984792534,0.9433422088623047,-0.012726843357086182,-0.029398053884506226,0.015491388738155365,2675200,0,0,0.9403237737715244,0.9447551742196083,0.22114938497543335,0.23793500661849976,1.0,1.0,1.0,0.012463975697755814,0.0004679715493693948,0.0009637855691835284,0.1536368429660797,0.16373448073863983,0.2579622268676758,0.16802772879600525,0.9
42000,12.778800010681152,17.902921676635742,0.95685781724751,0.059427675994730526,0.9395433664321899,-0.017314450815320015,-0.0317545123398304,0.020924050360918045,2688000,0,0,0.9375843033194542,0.9411940425634384,0.216742604970932,0.23990783095359802,1.0,1.0,1.0,0.030676057562232018,0.0004089509602636099,0.0010132758179679513,0.14826111495494843,0.1580112725496292,0.2626124620437622,0.16206219792366028,0.9
42200,12.779810905456543,17.995920181274414,0.9231275077909231,0.06070905759495185,0.9403356313705444,0.017208123579621315,-0.0066324383951723576,0.02388671413064003,2700800,0,0,0.9367040544748306,0.9404791295528412,0.20560604333877563,0.23641416430473328,0.9999979734420776,0.9994572997093201,1.0,0.009993278421461582,0.00043329340405762196,0.0011610575020313263,0.14328281581401825,0.17276465892791748,0.25756651163101196,0.17392036318778992,0.9
42400,12.796113014221191,17.939001083374023,0.9433002737350762,0.0615642058763769,0.9381166696548462,-0.005183604080229998,-0.01804756186902523,0.022581476718187332,2713600,0,1,0.9352339059114456,0.939089298248291,0.2195243239402771,0.23172879219055176,1.0,1.0,1.0,0.04017799347639084,0.0004225854354444891,0.0011008514557033777,0.1545306146144867,0.14954037964344025,0.2633405029773712,0.1601228564977646,0.9
42600,12.799480438232422,17.944608688354492,0.9611580409109592,0.06414557411490385,0.9341200590133667,-0.027037981897592545,-0.06091369315981865,0.021348729729652405,2726400,0,1,0.9313775673508644,0.9377942234277725,0.20101259648799896,0.2336927056312561,1.0,1.0,1.0,0.03571135923266411,0.00047439313493669033,0.0010641759727150202,0.14892663061618805,0.16348816454410553,0.2603723704814911,0.17123380303382874,0.9
42800,12.777755737304688,18.08115577697754,0.8839573375880718,0.0694218455406135,0.9340561032295227,0.05009876564145088,0.029926009476184845,0.02049710787832737,2739200,0,1,0.9316939413547516,0.9317160993814468,0.19337889552116394,0.23082327842712402,0.9999969601631165,0.9997286796569824,0.9997286796569824,0.03223497420549393,0.0003991964040324092,0.001179489423520863,0.1450454443693161,0.14604905247688293,0.26186755299568176,0.15478916466236115,0.9
43000,12.78471851348877,18.08392906188965,0.9152385350316763,0.06705778923193395,0.93421471118927,0.018976176157593727,-0.017624953761696815,0.021747473627328873,2752000,0,1,0.9318413436412811,0.9352198466658592,0.1998630166053772,0.2280888557434082,0.9999989867210388,0.9997286796569824,1.0,0.0470685176551342,0.0004446524253580719,0.0012576091103255749,0.14840270578861237,0.15221306681632996,0.25863099098205566,0.16192899644374847,0.9
