arm,path,U_b,U_t,eff_rank_b,eff_rank_t,participation_ratio
same-step,bb_xshh_50k_FINAL.pth,0.0032781194895505905,0.004159164614975452,1.2587978839874268,1.5971192121505737,2.7797942179892834
all-time,bb_xshh_allt_50k_FINAL.pth,0.005037575960159302,0.005081496201455593,1.9344291687011719,1.9512945413589478,7.5288541497144585
forked allt·50%,bb_xshh_allt_forked_50k_FINAL.pth,0.0026407456025481224,0.004410979337990284,1.014046311378479,1.693816065788269,4.138997539927351
forked allt·0.8%,bb_xshh_allt_forked2_50k_FINAL.pth,0.00280415709130466,0.00543387932702899,1.0767963230609894,2.086609661579132,2.815300293542431
forked β·0.8%,bb_beta_forked2_50k_FINAL.pth,0.020370526239275932,0.018978280946612358,7.822282075881958,7.2876598834991455,10.18840553021109
β,bb_beta_50k_FINAL.pth,0.003767276182770729,0.00409837206825614,1.44663405418396,1.5737748742103577,3.172014477216095
