cell,stop,branch,extend,heads_next,rule_branch_now,status,written_at
arm1_nse,40000,unconditional,1,student teacher,unconditional,rule,2026-08-06T02:22:37Z
arm1_nse,100000,budget_stop,0,,none_down,park,2026-08-06T02:22:37Z
arm1_nse,100000,none_down,0,student teacher,none_down,rule,2026-08-06T02:22:37Z
arm4_combab,40000,unconditional,1,student teacher,unconditional,rule,2026-08-06T02:22:37Z
arm4_combab,100000,budget_stop,0,,none_down,park,2026-08-06T02:22:37Z
arm4_combab,100000,none_down,0,student teacher,none_down,rule,2026-08-06T02:22:37Z
arm5_combab_alignS,40000,unconditional,1,student teacher,unconditional,rule,2026-08-06T02:22:37Z
arm5_combab_alignS,100000,budget_stop,0,,one_down,park,2026-08-06T02:22:37Z
arm5_combab_alignS,100000,one_down,1,student,one_down,rule,2026-08-06T02:22:37Z
arm5_combab_alignT,40000,unconditional,1,student teacher,unconditional,rule,2026-08-06T02:22:37Z
arm5_combab_alignT,100000,both_down,1,student teacher,both_down,rule,2026-08-06T02:22:37Z
arm5_combab_alignT,100000,session_end,1,student teacher,both_down,park,2026-08-06T02:22:37Z
arm6_v2_combab_alignS,40000,unconditional,1,student teacher,unconditional,rule,2026-08-06T02:22:37Z
arm6_v2_combab_alignS,100000,none_down,0,student teacher,none_down,rule,2026-08-06T02:22:37Z
arm6_v2_combab_alignT,40000,unconditional,1,student teacher,unconditional,rule,2026-08-06T02:22:37Z
arm6_v2_combab_alignT,100000,none_down,0,student teacher,none_down,rule,2026-08-06T02:22:37Z
arm6_v2_ncpc_alignS,40000,unconditional,1,student teacher,unconditional,rule,2026-08-06T02:22:37Z
arm6_v2_ncpc_alignS,100000,none_down,0,student teacher,none_down,rule,2026-08-06T02:22:37Z
arm6_v2_ncpc_alignT,40000,unconditional,1,student teacher,unconditional,rule,2026-08-06T02:22:37Z
arm6_v2_ncpc_alignT,100000,budget_stop,0,,none_down,park,2026-08-06T02:22:37Z
arm6_v2_ncpc_alignT,100000,none_down,0,student teacher,none_down,rule,2026-08-06T02:22:37Z
arm6_v2_nse_alignS,40000,unconditional,1,student teacher,unconditional,rule,2026-08-06T02:22:37Z
arm6_v2_nse_alignS,100000,none_down,0,student teacher,none_down,rule,2026-08-06T02:22:37Z
arm6_v2_nse_alignT,40000,unconditional,1,student teacher,unconditional,rule,2026-08-06T02:22:37Z
arm6_v2_nse_alignT,100000,both_down,1,student teacher,both_down,rule,2026-08-06T02:22:37Z
arm6_v2_nse_alignT,100000,budget_stop,0,,both_down,park,2026-08-06T02:22:37Z
