cell,recorded_branch,branch_20260722,branch_20260723,branch_20260724,n_distinct,survives_paired,student_down_seeds,teacher_down_seeds,verdict
arm6_v2_combab_alignS,none_down,none_down,,,1,,,,1/3 seeds paired — no claim yet
arm6_v2_combab_alignT,none_down,none_down,,,1,,,,1/3 seeds paired — no claim yet
arm5_combab_alignS,one_down,one_down,,,1,,20260722,,1/3 seeds paired — no claim yet
arm5_combab_alignT,both_down,both_down,,,1,,20260722,20260722,1/3 seeds paired — no claim yet
arm6_v2_nse_alignT,both_down,both_down,,,1,,20260722,20260722,1/3 seeds paired — no claim yet
arm6_v2_nse_alignS,none_down,none_down,,,1,,,,1/3 seeds paired — no claim yet
arm4_combab,none_down,none_down,,,1,,,,1/3 seeds paired — no claim yet
arm6_v2_ncpc_alignT,none_down,none_down,,,1,,,,1/3 seeds paired — no claim yet
arm1_nse,none_down,none_down,,,1,,,,1/3 seeds paired — no claim yet
