cell,leg,step,latent,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
arm5_combab_alignS,leg_40k,40000,student_h,vs_initial,0,40000,0.993402,0.430480,0.562922,0.221039
arm5_combab_alignS,leg_40k,40000,teacher_h,adjacent,20000,20000,1.033244,0.383392,0.649852,0.367999
arm5_combab_alignS,leg_40k,40000,teacher_h,vs_initial,0,40000,1.009683,0.478594,0.531089,0.219957
arm5_combab_alignS,leg_100k,60000,student_h,adjacent,40000,20000,0.944217,0.345393,0.598824,0.315558
arm5_combab_alignS,leg_100k,60000,teacher_h,adjacent,40000,20000,0.954765,0.384330,0.570435,0.330437
arm5_combab_alignS,leg_100k,80000,student_h,adjacent,60000,20000,0.950827,0.357236,0.593590,0.325853
arm5_combab_alignS,leg_100k,80000,student_h,vs_initial,40000,40000,0.916260,0.372221,0.544039,0.350090
arm5_combab_alignS,leg_100k,80000,teacher_h,adjacent,60000,20000,0.899758,0.377784,0.521975,0.336219
arm5_combab_alignS,leg_100k,80000,teacher_h,vs_initial,40000,40000,0.951157,0.400835,0.550322,0.350182
arm5_combab_alignS,leg_100k,100000,student_h,adjacent,80000,20000,1.004677,0.373746,0.630931,0.300045
arm5_combab_alignS,leg_100k,100000,student_h,vs_initial,40000,60000,0.960007,0.342201,0.617805,0.319312
arm5_combab_alignS,leg_100k,100000,teacher_h,adjacent,80000,20000,0.930448,0.428098,0.502351,0.282459
arm5_combab_alignS,leg_100k,100000,teacher_h,vs_initial,40000,60000,0.944305,0.433521,0.510784,0.276229
arm5_combab_alignS,leg_200k,120000,student_h,adjacent,100000,20000,0.765311,0.244690,0.520621,0.323206
arm5_combab_alignS,leg_200k,120000,teacher_h,adjacent,100000,20000,0.000036,0.000020,0.000016,0.999950
arm5_combab_alignS,leg_200k,140000,student_h,adjacent,120000,20000,0.940932,0.240612,0.700321,0.421013
arm5_combab_alignS,leg_200k,140000,student_h,vs_initial,100000,40000,1.067667,0.276675,0.790993,0.345246
arm5_combab_alignS,leg_200k,140000,teacher_h,adjacent,120000,20000,0.000748,0.000574,0.000175,0.998697
arm5_combab_alignS,leg_200k,140000,teacher_h,vs_initial,100000,40000,0.000936,0.000709,0.000226,0.998391
arm5_combab_alignS,leg_200k,160000,student_h,adjacent,140000,20000,0.729149,0.199483,0.529666,0.494988
arm5_combab_alignS,leg_200k,160000,student_h,vs_initial,100000,60000,1.080981,0.273258,0.807723,0.313345
arm5_combab_alignS,leg_200k,160000,teacher_h,adjacent,140000,20000,0.000066,0.000040,0.000026,0.999897
arm5_combab_alignS,leg_200k,160000,teacher_h,vs_initial,100000,60000,0.000586,0.000462,0.000124,0.998942
arm5_combab_alignS,leg_200k,180000,student_h,adjacent,160000,20000,0.836746,0.251350,0.585396,0.386314
arm5_combab_alignS,leg_200k,180000,student_h,vs_initial,100000,80000,0.963899,0.311035,0.652863,0.296716
arm5_combab_alignS,leg_200k,180000,teacher_h,adjacent,160000,20000,0.000210,0.000170,0.000041,0.999643
arm5_combab_alignS,leg_200k,180000,teacher_h,vs_initial,100000,80000,0.001025,0.000845,0.000179,0.998152
arm5_combab_alignS,leg_200k,200000,student_h,adjacent,180000,20000,0.871227,0.302978,0.568249,0.325378
arm5_combab_alignS,leg_200k,200000,student_h,vs_initial,100000,100000,0.965089,0.300248,0.664841,0.344305
arm5_combab_alignS,leg_200k,200000,teacher_h,adjacent,180000,20000,0.000035,0.000022,0.000012,0.999936
arm5_combab_alignS,leg_200k,200000,teacher_h,vs_initial,100000,100000,0.001120,0.000947,0.000173,0.997947
arm5_combab_alignT,leg_40k,20000,student_h,adjacent,0,20000,1.025147,0.486826,0.538320,0.077538
arm5_combab_alignT,leg_40k,20000,teacher_h,adjacent,0,20000,1.034808,0.492373,0.542435,0.074394
arm5_combab_alignT,leg_40k,40000,student_h,adjacent,20000,20000,0.963368,0.312999,0.650370,0.386300
arm5_combab_alignT,leg_40k,40000,student_h,vs_initial,0,40000,1.023652,0.476525,0.547127,0.088570
arm5_combab_alignT,leg_40k,40000,teacher_h,adjacent,20000,20000,0.958218,0.314463,0.643756,0.377114
arm5_combab_alignT,leg_40k,40000,teacher_h,vs_initial,0,40000,1.017063,0.479973,0.537090,0.088544
arm5_combab_alignT,leg_100k,60000,student_h,adjacent,40000,20000,1.002012,0.383022,0.618990,0.356573
