=== [v17 orch] START Wed 13 May 19:37:06 BST 2026 ===
[v17 orch] backbone PID=1200660
[v17 orch] heartbeat Wed 13 May 19:47:06 BST 2026 step=1800 loss=2.472965955734253
[v17 orch] heartbeat Wed 13 May 19:57:06 BST 2026 step=3600 loss=2.320021390914917
[v17 orch] heartbeat Wed 13 May 20:07:06 BST 2026 step=5500 loss=2.3026249408721924
[v17 orch] heartbeat Wed 13 May 20:17:06 BST 2026 step=7400 loss=2.2848896980285645
[v17 orch] heartbeat Wed 13 May 20:27:06 BST 2026 step=9200 loss=2.289356231689453
[v17 orch] heartbeat Wed 13 May 20:37:06 BST 2026 step=11100 loss=2.2797915935516357
[v17 orch] heartbeat Wed 13 May 20:47:06 BST 2026 step=13000 loss=2.2804596424102783
[v17 orch] heartbeat Wed 13 May 20:57:06 BST 2026 step=14900 loss=2.2561421394348145
[v17 orch] heartbeat Wed 13 May 21:07:06 BST 2026 step=16800 loss=2.2332897186279297
[v17 orch] heartbeat Wed 13 May 21:17:06 BST 2026 step=18700 loss=2.235457181930542
[v17 orch] heartbeat Wed 13 May 21:27:06 BST 2026 step=20500 loss=2.2319211959838867
[v17 orch] heartbeat Wed 13 May 21:37:06 BST 2026 step=22400 loss=2.2049221992492676
[v17 orch] heartbeat Wed 13 May 21:47:06 BST 2026 step=24400 loss=2.204529047012329
[v17 orch] heartbeat Wed 13 May 21:57:06 BST 2026 step=26300 loss=2.2017979621887207
[v17 orch] heartbeat Wed 13 May 22:07:06 BST 2026 step=28200 loss=2.204749822616577
[v17 orch] heartbeat Wed 13 May 22:17:06 BST 2026 step=30100 loss=2.1687655448913574
[v17 orch] heartbeat Wed 13 May 22:27:06 BST 2026 step=32000 loss=2.1634373664855957
[v17 orch] heartbeat Wed 13 May 22:37:06 BST 2026 step=33900 loss=2.161630868911743
[v17 orch] heartbeat Wed 13 May 22:47:06 BST 2026 step=35800 loss=2.1255359649658203
[v17 orch] heartbeat Wed 13 May 22:57:06 BST 2026 step=37700 loss=2.119084119796753
[v17 orch] heartbeat Wed 13 May 23:07:06 BST 2026 step=39500 loss=2.123222827911377
[v17 orch] heartbeat Wed 13 May 23:17:06 BST 2026 step=41300 loss=2.107236862182617
[v17 orch] heartbeat Wed 13 May 23:27:06 BST 2026 step=43200 loss=2.1006994247436523
[v17 orch] heartbeat Wed 13 May 23:37:06 BST 2026 step=45100 loss=2.0989177227020264
[v17 orch] heartbeat Wed 13 May 23:47:06 BST 2026 step=47000 loss=2.084704875946045
[v17 orch] heartbeat Wed 13 May 23:57:06 BST 2026 step=48800 loss=2.0756938457489014
