step,loss,hf_rows_consumed
1,0.4752424657344818,256
201,0.24774868786334991,51456
401,0.23288235068321228,102656
601,0.24223178625106812,153856
801,0.22917817533016205,205056
1001,0.24217979609966278,256256
1201,0.24129118025302887,307456
1401,0.23605307936668396,358656
1601,0.24950088560581207,409856
1801,0.2405683398246765,461056
2001,0.23834849894046783,512256
2201,0.21719865500926971,563456
2401,0.22422194480895996,614656
2601,0.2322220504283905,665856
2801,0.23348933458328247,717056
3001,0.22362656891345978,768256
3201,0.22940044105052948,819456
3401,0.2283652126789093,870656
3601,0.21924366056919098,921856
3801,0.24384473264217377,973056
4001,0.23349164426326752,1024256
4201,0.21686288714408875,1075456
4401,0.23139409720897675,1126656
4601,0.23245684802532196,1177856
4801,0.2144361138343811,1229056
5001,0.23472648859024048,1280256
5201,0.2307196855545044,1331456
5401,0.2316267490386963,1382656
5601,0.23164092004299164,1433856
5801,0.23370592296123505,1485056
6001,0.23367637395858765,1536256
6201,0.2156740128993988,1587456
6401,0.2294459491968155,1638656
6601,0.22527895867824554,1689856
6801,0.22432133555412292,1741056
7001,0.2289070188999176,1792256
7201,0.24776090681552887,1843456
7401,0.22407963871955872,1894656
7601,0.2240019291639328,1945856
7801,0.22554360330104828,1997056
8001,0.23139774799346924,2048256
8201,0.23540152609348297,2099456
8401,0.24252650141716003,2150656
8601,0.220092311501503,2201856
8801,0.23250548541545868,2253056
9001,0.21808753907680511,2304256
9201,0.22125902771949768,2355456
9401,0.22157785296440125,2406656
9601,0.22142265737056732,2457856
9801,0.2265809029340744,2509056
10001,0.2317904680967331,2560256
10201,0.2250698059797287,2611456
10401,0.2319103330373764,2662656
10601,0.23352275788784027,2713856
10801,0.22729362547397614,2765056
11001,0.2290486842393875,2816256
11201,0.2295236438512802,2867456
11401,0.21985404193401337,2918656
11601,0.2256443351507187,2969856
11801,0.2030009776353836,3021056
12001,0.22898457944393158,3072256
12201,0.22952184081077576,3123456
12401,0.2356138825416565,3174656
12601,0.21853651106357574,3225856
12801,0.23010708391666412,3277056
13001,0.22440879046916962,3328256
13201,0.21538372337818146,3379456
13401,0.21955029666423798,3430656
13601,0.22355854511260986,3481856
13801,0.22546356916427612,3533056
14001,0.23186765611171722,3584256
14201,0.22929465770721436,3635456
14401,0.23084008693695068,3686656
14601,0.20289789140224457,3737856
14801,0.23749671876430511,3789056
