step,latent,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
20000,student_h,adjacent,0,20000,0.940668,0.506526,0.434142,0.281229
20000,teacher_h,adjacent,0,20000,0.940102,0.507923,0.432179,0.277592
40000,student_h,adjacent,20000,20000,0.554153,0.303023,0.251131,0.634875
40000,student_h,vs_initial,0,40000,0.969031,0.488440,0.480591,0.300977
40000,teacher_h,adjacent,20000,20000,0.552908,0.306314,0.246594,0.623866
40000,teacher_h,vs_initial,0,40000,0.969011,0.488532,0.480480,0.301243
