step,latent,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
20000,student_h,adjacent,0,20000,0.985435,0.590214,0.395222,0.206449
20000,teacher_h,adjacent,0,20000,0.985171,0.589088,0.396083,0.204790
40000,student_h,adjacent,20000,20000,0.838973,0.546815,0.292158,0.287160
40000,student_h,vs_initial,0,40000,0.933691,0.647231,0.286460,0.124725
40000,teacher_h,adjacent,20000,20000,0.834765,0.550690,0.284076,0.294238
40000,teacher_h,vs_initial,0,40000,0.933823,0.652160,0.281663,0.126674
