stop,split,name,n,gm_rel_mase
s08_bb40k_h30k_student,domain,Web/CloudOps,20,1.256327
s08b_bb40k_h30k_student,all,all,97,1.545867
s08b_bb40k_h30k_student,term,short,55,1.482540
s08b_bb40k_h30k_student,term,medium,21,1.649323
s08b_bb40k_h30k_student,term,long,21,1.616646
s08b_bb40k_h30k_student,term,medium_long,42,1.632903
s08b_bb40k_h30k_student,domain,Econ/Fin,6,3.900145
s08b_bb40k_h30k_student,domain,Energy,32,1.778891
s08b_bb40k_h30k_student,domain,Healthcare,5,1.822368
s08b_bb40k_h30k_student,domain,Nature,15,1.025836
s08b_bb40k_h30k_student,domain,Sales,4,0.888417
s08b_bb40k_h30k_student,domain,Transport,15,1.263549
s08b_bb40k_h30k_student,domain,Web/CloudOps,20,1.586851
s09_bb40k_h30k_student,all,all,97,1.178438
s09_bb40k_h30k_student,term,short,55,1.029080
s09_bb40k_h30k_student,term,medium,21,1.437908
s09_bb40k_h30k_student,term,long,21,1.377314
s09_bb40k_h30k_student,term,medium_long,42,1.407285
s09_bb40k_h30k_student,domain,Econ/Fin,6,1.370797
s09_bb40k_h30k_student,domain,Energy,32,1.409570
s09_bb40k_h30k_student,domain,Healthcare,5,1.166273
s09_bb40k_h30k_student,domain,Nature,15,0.871522
s09_bb40k_h30k_student,domain,Sales,4,0.815703
s09_bb40k_h30k_student,domain,Transport,15,0.985712
s09_bb40k_h30k_student,domain,Web/CloudOps,20,1.308216
w3_s08_bb40k_h30k_student,all,all,97,1.205961
w3_s08_bb40k_h30k_student,term,short,55,1.059528
w3_s08_bb40k_h30k_student,term,medium,21,1.446753
w3_s08_bb40k_h30k_student,term,long,21,1.410969
w3_s08_bb40k_h30k_student,term,medium_long,42,1.428749
w3_s08_bb40k_h30k_student,domain,Econ/Fin,6,1.409061
w3_s08_bb40k_h30k_student,domain,Energy,32,1.464633
w3_s08_bb40k_h30k_student,domain,Healthcare,5,1.073772
w3_s08_bb40k_h30k_student,domain,Nature,15,0.888342
w3_s08_bb40k_h30k_student,domain,Sales,4,0.785374
w3_s08_bb40k_h30k_student,domain,Transport,15,1.040605
w3_s08_bb40k_h30k_student,domain,Web/CloudOps,20,1.328860
