ts,util_pct,mem_used_mib,mem_free_mib
13:51:17,24,8946,15265
13:51:27,19,14287,9924
13:51:37,80,14321,9890
13:51:47,76,14321,9890
13:51:57,76,14321,9890
13:52:07,75,14321,9890
13:52:17,72,14321,9890
13:52:27,71,14321,9890
13:52:37,71,14321,9890
13:52:47,70,14321,9890
13:52:57,67,14321,9890
13:53:07,65,14321,9890
13:53:17,67,14321,9890
13:53:27,68,14321,9890
13:53:37,64,14321,9890
13:53:47,9,14287,9924
13:53:57,9,14287,9924
13:54:07,53,14355,9856
13:54:17,54,14355,9856
13:54:27,24,14355,9856
13:54:37,50,14355,9856
13:54:47,50,14355,9856
13:54:57,34,14355,9856
13:55:07,44,14355,9856
13:55:17,52,14355,9856
13:55:27,41,14355,9856
13:55:37,50,14355,9856
13:55:47,44,14355,9856
13:55:57,49,14355,9856
13:56:07,50,14355,9856
13:56:17,49,14355,9856
13:56:27,41,14355,9856
13:56:37,45,14355,9856
13:56:47,49,14355,9856
13:56:57,46,14355,9856
13:57:07,48,14355,9856
13:57:17,47,14355,9856
13:57:27,46,14355,9856
13:57:37,47,14355,9856
13:57:47,40,14355,9856
13:57:57,37,14355,9856
13:58:08,24,14355,9856
13:58:18,48,14355,9856
13:58:28,46,14355,9856
13:58:38,18,14355,9856
13:58:48,44,14355,9856
13:58:58,45,14355,9856
13:59:08,44,14355,9856
13:59:18,5,14287,9924
13:59:28,5,14287,9924
13:59:38,14,14301,9910
13:59:48,38,14321,9890
13:59:58,24,14321,9890
14:00:08,52,14321,9890
14:00:18,52,14321,9890
14:00:28,52,14321,9890
14:00:38,53,14321,9890
14:00:48,56,14321,9890
14:00:58,57,14321,9890
14:01:08,53,14321,9890
14:01:18,51,14321,9890
14:01:28,55,14321,9890
14:01:38,54,14321,9890
14:01:48,5,14287,9924
14:01:58,5,14287,9924
14:02:08,40,14355,9856
14:02:18,41,14355,9856
14:02:28,15,14355,9856
14:02:38,43,14355,9856
14:02:48,44,14355,9856
14:02:58,42,14355,9856
14:03:08,41,14355,9856
14:03:18,38,14355,9856
14:03:28,39,14355,9856
14:03:38,41,14355,9856
14:03:48,34,14355,9856
14:03:58,39,14355,9856
14:04:08,15,14355,9856
14:04:18,40,14355,9856
14:04:28,42,14355,9856
14:04:38,33,14355,9856
14:04:48,39,14355,9856
14:04:58,97,14355,9856
14:05:08,98,14355,9856
14:05:18,89,14355,9856
14:05:28,48,14355,9856
14:05:38,75,14355,9856
14:05:48,58,14355,9856
14:05:58,71,14355,9856
14:06:08,68,14355,9856
14:06:19,53,14355,9856
14:06:29,65,14355,9856
14:06:39,18,14355,9856
14:06:49,41,14355,9856
14:06:59,59,14355,9856
14:07:09,58,14355,9856
14:07:19,9,14495,9716
14:07:29,9,14287,9924
14:07:39,9,14287,9924
14:07:49,62,14321,9890
14:07:59,61,14321,9890
14:08:09,59,14321,9890
14:08:19,60,14321,9890
14:08:29,60,14321,9890
14:08:39,60,14321,9890
14:08:49,59,14321,9890
14:08:59,62,14321,9890
14:09:09,25,14321,9890
14:09:19,62,14321,9890
14:09:29,58,14321,9890
14:09:39,58,14321,9890
14:09:49,7,14287,9924
14:09:59,7,14287,9924
14:10:09,43,14355,9856
14:10:19,49,14355,9856
14:10:29,47,14355,9856
14:10:39,42,14355,9856
14:10:49,48,14355,9856
14:10:59,32,14355,9856
14:11:09,44,14355,9856
14:11:19,44,14355,9856
14:11:29,44,14355,9856
14:11:39,46,14355,9856
14:11:49,47,14355,9856
14:11:59,16,14355,9856
14:12:09,46,14355,9856
14:12:19,48,14355,9856
14:12:29,42,14355,9856
14:12:39,22,14355,9856
14:12:49,46,14355,9856
14:12:59,45,14355,9856
14:13:09,42,14355,9856
14:13:19,19,14355,9856
14:13:29,43,14355,9856
14:13:39,42,14355,9856
14:13:49,39,14355,9856
14:13:59,43,14355,9856
14:14:10,32,14355,9856
14:14:20,24,14355,9856
14:14:30,37,14355,9856
14:14:40,36,14355,9856
14:14:50,36,14355,9856
14:15:00,35,14355,9856
14:15:10,29,14355,9856
14:15:20,23,14355,9856
14:15:30,27,14355,9856
14:15:40,26,14355,9856
14:15:50,27,14355,9856
14:16:00,32,14355,9856
