a	47218666	ssh7.vast.ai	18666	B5:3:40000
b	47219009	ssh4.vast.ai	19008	A3:3:40000
c	47218817	ssh7.vast.ai	18816	B9:3:40000
d	47219263	ssh3.vast.ai	19262	B5:0:40000 A3:0:40000
