label,subset,n,delta,ci_lo,ci_hi,p_improved
B9_k3_student,all,97,-0.2791,-0.3548,-0.1980,1.000
B9_k3_student,short,55,-0.1736,-0.2470,-0.1038,1.000
B9_k3_student,medium_long,42,-0.4472,-0.5655,-0.3382,1.000
B9_k3_teacher,all,97,-0.2871,-0.3644,-0.2032,1.000
B9_k3_teacher,short,55,-0.1751,-0.2501,-0.1018,1.000
B9_k3_teacher,medium_long,42,-0.4670,-0.5952,-0.3523,1.000
B1_k3_student,all,97,-0.1175,-0.1801,-0.0615,1.000
B1_k3_student,short,55,-0.0556,-0.1017,-0.0184,0.999
B1_k3_student,medium_long,42,-0.2244,-0.3504,-0.1243,1.000
B1_k3_teacher,all,97,-0.1053,-0.1661,-0.0515,1.000
B1_k3_teacher,short,55,-0.0523,-0.0980,-0.0146,0.997
B1_k3_teacher,medium_long,42,-0.1963,-0.3129,-0.1047,1.000
B5_s1_k3_student,all,97,-0.0713,-0.1327,-0.0267,1.000
B5_s1_k3_student,short,55,-0.0848,-0.1732,-0.0068,0.983
B5_s1_k3_student,medium_long,42,-0.0504,-0.0972,-0.0137,0.997
B5_s1_k3_teacher,all,97,-0.0503,-0.0965,-0.0108,0.994
B5_s1_k3_teacher,short,55,-0.0571,-0.1215,0.0086,0.958
B5_s1_k3_teacher,medium_long,42,-0.0395,-0.0882,0.0028,0.966
B5_s2_k3_student,all,97,0.0575,0.0173,0.1094,0.002
B5_s2_k3_student,short,55,0.0809,0.0231,0.1549,0.002
B5_s2_k3_student,medium_long,42,0.0199,-0.0215,0.0745,0.190
B5_s2_k3_teacher,all,97,0.0599,0.0214,0.1105,0.001
B5_s2_k3_teacher,short,55,0.0925,0.0345,0.1701,0.000
B5_s2_k3_teacher,medium_long,42,0.0074,-0.0268,0.0543,0.387
A3_k1_student,all,97,-0.0195,-0.0537,0.0148,0.869
A3_k1_student,short,55,-0.0294,-0.0652,0.0007,0.971
A3_k1_student,medium_long,42,-0.0029,-0.0565,0.0628,0.558
A3_k3_student,all,97,0.1429,0.0893,0.2122,0.000
A3_k3_student,short,55,0.1899,0.1254,0.2739,0.000
A3_k3_student,medium_long,42,0.0698,0.0226,0.1415,0.000
A3_k1_teacher,all,97,-0.0121,-0.0479,0.0261,0.740
A3_k1_teacher,short,55,-0.0163,-0.0596,0.0275,0.779
A3_k1_teacher,medium_long,42,-0.0052,-0.0572,0.0602,0.595
A3_k3_teacher,all,97,0.1337,0.0839,0.2004,0.000
A3_k3_teacher,short,55,0.1760,0.1177,0.2537,0.000
A3_k3_teacher,medium_long,42,0.0673,0.0197,0.1414,0.000
B5_seed_and_machine_k0_student,all,97,-0.1200,-0.1825,-0.0742,1.000
B5_seed_and_machine_k0_student,short,55,-0.1572,-0.2381,-0.0922,1.000
B5_seed_and_machine_k0_student,medium_long,42,-0.0611,-0.1229,-0.0187,0.999
B5_seed_and_machine_k0_teacher,all,97,-0.1057,-0.1578,-0.0661,1.000
B5_seed_and_machine_k0_teacher,short,55,-0.1401,-0.2044,-0.0831,1.000
B5_seed_and_machine_k0_teacher,medium_long,42,-0.0502,-0.1098,-0.0117,0.998
B5_seed_and_machine_k3_student,all,97,0.0088,-0.0306,0.0520,0.340
B5_seed_and_machine_k3_student,short,55,0.0084,-0.0439,0.0708,0.400
B5_seed_and_machine_k3_student,medium_long,42,0.0093,-0.0441,0.0587,0.348
B5_seed_and_machine_k3_teacher,all,97,0.0044,-0.0344,0.0462,0.416
B5_seed_and_machine_k3_teacher,short,55,0.0095,-0.0364,0.0668,0.376
B5_seed_and_machine_k3_teacher,medium_long,42,-0.0034,-0.0647,0.0442,0.532
A3_alignx4_student,all,97,0.0401,0.0116,0.0767,0.002
A3_alignx4_student,short,55,0.0515,0.0139,0.1003,0.003
A3_alignx4_student,medium_long,42,0.0214,-0.0039,0.0609,0.064
A3_alignx4_teacher,all,97,0.0374,0.0058,0.0756,0.010
A3_alignx4_teacher,short,55,0.0484,0.0038,0.1001,0.016
A3_alignx4_teacher,medium_long,42,0.0194,-0.0079,0.0597,0.103
