stop,split,name,n,gm_rel_mase
A2_k0_bb100k_teacher,term,long,21,1.628301
A2_k0_bb100k_teacher,term,medium,21,1.682636
A2_k0_bb100k_teacher,term,short,55,1.192841
A2_k0_bb100k_teacher,domain,Econ/Fin,6,1.881778
A2_k0_bb100k_teacher,domain,Energy,32,1.692660
A2_k0_bb100k_teacher,domain,Healthcare,5,1.225593
A2_k0_bb100k_teacher,domain,Nature,15,1.012003
A2_k0_bb100k_teacher,domain,Sales,4,0.862443
A2_k0_bb100k_teacher,domain,Transport,15,1.157636
A2_k0_bb100k_teacher,domain,Web/CloudOps,20,1.449882
A2_k0_bb200k_teacher,all,all,97,1.345888
A2_k0_bb200k_teacher,term,long,21,1.603203
A2_k0_bb200k_teacher,term,medium,21,1.615047
A2_k0_bb200k_teacher,term,short,55,1.174269
A2_k0_bb200k_teacher,domain,Econ/Fin,6,1.984276
A2_k0_bb200k_teacher,domain,Energy,32,1.646137
A2_k0_bb200k_teacher,domain,Healthcare,5,1.254498
A2_k0_bb200k_teacher,domain,Nature,15,0.943408
A2_k0_bb200k_teacher,domain,Sales,4,0.823309
A2_k0_bb200k_teacher,domain,Transport,15,1.136032
A2_k0_bb200k_teacher,domain,Web/CloudOps,20,1.444674
A3_k0_bb40k_student,all,all,97,1.189526
A3_k0_bb40k_student,term,long,21,1.379977
A3_k0_bb40k_student,term,medium,21,1.392900
A3_k0_bb40k_student,term,short,55,1.058218
A3_k0_bb40k_student,domain,Econ/Fin,6,1.609513
A3_k0_bb40k_student,domain,Energy,32,1.410942
A3_k0_bb40k_student,domain,Healthcare,5,1.292481
A3_k0_bb40k_student,domain,Nature,15,0.884245
A3_k0_bb40k_student,domain,Sales,4,0.832783
A3_k0_bb40k_student,domain,Transport,15,1.006910
A3_k0_bb40k_student,domain,Web/CloudOps,20,1.230850
A3_k0_bb100k_student,all,all,97,1.192131
A3_k0_bb100k_student,term,long,21,1.439548
A3_k0_bb100k_student,term,medium,21,1.438324
A3_k0_bb100k_student,term,short,55,1.032574
A3_k0_bb100k_student,domain,Econ/Fin,6,1.451267
A3_k0_bb100k_student,domain,Energy,32,1.434305
A3_k0_bb100k_student,domain,Healthcare,5,1.233908
A3_k0_bb100k_student,domain,Nature,15,0.866504
A3_k0_bb100k_student,domain,Sales,4,0.803182
A3_k0_bb100k_student,domain,Transport,15,1.039119
A3_k0_bb100k_student,domain,Web/CloudOps,20,1.263018
A3_k0_bb40k_teacher,all,all,97,1.179321
A3_k0_bb40k_teacher,term,long,21,1.370433
A3_k0_bb40k_teacher,term,medium,21,1.386291
A3_k0_bb40k_teacher,term,short,55,1.046924
A3_k0_bb40k_teacher,domain,Econ/Fin,6,1.544814
A3_k0_bb40k_teacher,domain,Energy,32,1.401021
A3_k0_bb40k_teacher,domain,Healthcare,5,1.283833
A3_k0_bb40k_teacher,domain,Nature,15,0.872133
A3_k0_bb40k_teacher,domain,Sales,4,0.824587
A3_k0_bb40k_teacher,domain,Transport,15,1.005996
A3_k0_bb40k_teacher,domain,Web/CloudOps,20,1.226541
A3_k0_bb100k_teacher,all,all,97,1.196265
A3_k0_bb100k_teacher,term,long,21,1.450640
A3_k0_bb100k_teacher,term,medium,21,1.454247
A3_k0_bb100k_teacher,term,short,55,1.031512
A3_k0_bb100k_teacher,domain,Econ/Fin,6,1.464600
