pair	arm	stop_k	enc	cell	head_md5	head_path
A3/B2	arm6_v2_combab_alignT	100	student	B2	5cb379ce	/home/jupyter/cf373_r2/B2/sync/eval/B2_k3_bb100k_student/qhead_B2_k3_bb100k_student_s20260722_final.pth
A3/B2	arm6_v2_combab_alignT	100	teacher	A3	6644cb2a	/home/jupyter/cf373_r2/A3/sync/eval/A3_k3_bb100k_teacher/qhead_A3_k3_bb100k_teacher_s20260722_final.pth
A3/B2	arm6_v2_combab_alignT	100	teacher	B2	8639d043	/home/jupyter/cf373_r2/B2/sync/eval/B2_k3_bb100k_teacher/qhead_B2_k3_bb100k_teacher_s20260722_final.pth
A2/B8	arm6_v2_nse_alignT	40	student	A2	6d7fea02	/home/jupyter/cf373_r2/A2/sync/eval/A2_k3_bb40k_student/qhead_A2_k3_bb40k_student_s20260722_final.pth
A2/B8	arm6_v2_nse_alignT	40	student	B8	fdbbb223	/home/jupyter/cf373_r3/sync/eval/B8_k3_bb40k_student/qhead_B8_k3_bb40k_student_s20260722_final.pth
A2/B8	arm6_v2_nse_alignT	40	teacher	A2	417355c2	/home/jupyter/cf373_r2/A2/sync/eval/A2_k3_bb40k_teacher/qhead_A2_k3_bb40k_teacher_s20260722_final.pth
A2/B8	arm6_v2_nse_alignT	40	teacher	B8	e60c0ec3	/home/jupyter/cf373_r3/sync/eval/B8_k3_bb40k_teacher/qhead_B8_k3_bb40k_teacher_s20260722_final.pth
A2/B8	arm6_v2_nse_alignT	100	student	A2	cc5201b8	/home/jupyter/cf373_r2/A2/sync/eval/A2_k3_bb100k_student/qhead_A2_k3_bb100k_student_s20260722_final.pth
A2/B8	arm6_v2_nse_alignT	100	student	B8	be392111	/home/jupyter/cf373_r3/sync/eval/B8_k3_bb100k_student/qhead_B8_k3_bb100k_student_s20260722_final.pth
A2/B8	arm6_v2_nse_alignT	100	teacher	A2	b5a89436	/home/jupyter/cf373_r2/A2/sync/eval/A2_k3_bb100k_teacher/qhead_A2_k3_bb100k_teacher_s20260722_final.pth
A2/B8	arm6_v2_nse_alignT	100	teacher	B8	15fca9a8	/home/jupyter/cf373_r3/sync/eval/B8_k3_bb100k_teacher/qhead_B8_k3_bb100k_teacher_s20260722_final.pth
