A1	47404615	ssh2.vast.ai	14614	cf373r2-a1	40000 100000
A2	47404632	ssh2.vast.ai	14632	cf373r2-a2	40000 100000
A3	47404157	ssh2.vast.ai	14156	cf373r2-a3	40000 100000
A4	47404183	ssh7.vast.ai	14182	cf373r2-a4	40000 100000
B10	47406847	ssh3.vast.ai	16846	cf373r2-b10	40000 100000
B1	47404661	ssh8.vast.ai	14660	cf373r2-b1	40000 100000
B2	47405187	ssh8.vast.ai	15186	cf373r2-b2	40000 100000
B3	47405232	ssh3.vast.ai	15232	cf373r2-b3	40000 100000
B4	47405221	ssh8.vast.ai	15220	cf373r2-b4	40000 100000
B5	47403680	ssh8.vast.ai	13680	cf373r2-b5	40000 100000
B6	47406054	ssh8.vast.ai	16054	cf373r2-b6	40000 100000
B7	47406829	ssh4.vast.ai	16828	cf373r2-b7	40000 100000
B9	47403823	ssh3.vast.ai	13822	cf373r2-b9	40000 100000
