label,subset,n,delta,ci_lo,ci_hi,p_improved
A2_stop200v100_student,all,97,0.0028,-0.0103,0.0190,0.369
A2_stop200v100_student,short,55,0.0010,-0.0175,0.0236,0.475
A2_stop200v100_student,medium_long,42,0.0056,-0.0043,0.0186,0.160
A2_stop200v100_teacher,all,97,-0.0014,-0.0145,0.0122,0.587
A2_stop200v100_teacher,short,55,-0.0068,-0.0244,0.0123,0.764
A2_stop200v100_teacher,medium_long,42,0.0069,-0.0033,0.0197,0.099
A3_stop200v100_student,all,97,0.0988,0.0602,0.1509,0.000
A3_stop200v100_student,short,55,0.1408,0.0844,0.2105,0.000
A3_stop200v100_student,medium_long,42,0.0391,0.0155,0.0702,0.000
A3_stop200v100_teacher,all,97,-0.0238,-0.0646,0.0067,0.926
A3_stop200v100_teacher,short,55,-0.0380,-0.1034,0.0124,0.922
A3_stop200v100_teacher,medium_long,42,-0.0028,-0.0123,0.0095,0.691
A4_stop200v100_student,all,97,-0.0141,-0.0265,-0.0024,0.994
A4_stop200v100_student,short,55,0.0023,-0.0096,0.0165,0.371
A4_stop200v100_student,medium_long,42,-0.0412,-0.0742,-0.0165,1.000
A4_stop200v100_teacher,all,97,-0.0046,-0.0199,0.0123,0.711
A4_stop200v100_teacher,short,55,0.0150,-0.0005,0.0340,0.029
A4_stop200v100_teacher,medium_long,42,-0.0381,-0.0713,-0.0091,0.996
B1_stop200v100_student,all,97,0.0128,0.0001,0.0284,0.024
B1_stop200v100_student,short,55,0.0147,-0.0012,0.0324,0.035
B1_stop200v100_student,medium_long,42,0.0094,-0.0076,0.0341,0.159
B1_stop200v100_teacher,all,97,0.0104,-0.0037,0.0280,0.082
B1_stop200v100_teacher,short,55,0.0109,-0.0051,0.0276,0.089
B1_stop200v100_teacher,medium_long,42,0.0093,-0.0121,0.0436,0.236
B2_stop200v100_student,all,97,-0.0539,-0.0935,-0.0197,0.999
B2_stop200v100_student,short,55,-0.0694,-0.1248,-0.0147,0.992
B2_stop200v100_student,medium_long,42,-0.0312,-0.0658,-0.0078,0.998
B2_stop200v100_teacher,all,97,-0.0292,-0.0604,-0.0016,0.980
B2_stop200v100_teacher,short,55,-0.0268,-0.0708,0.0134,0.905
B2_stop200v100_teacher,medium_long,42,-0.0327,-0.0681,-0.0084,0.997
B4_stop200v100_student,all,97,0.0379,0.0089,0.0742,0.005
B4_stop200v100_student,short,55,0.0410,0.0004,0.0902,0.024
B4_stop200v100_student,medium_long,42,0.0330,0.0074,0.0748,0.003
B4_stop200v100_teacher,all,97,0.0454,0.0181,0.0807,0.000
B4_stop200v100_teacher,short,55,0.0518,0.0146,0.0992,0.002
B4_stop200v100_teacher,medium_long,42,0.0356,0.0080,0.0785,0.003
B6_stop200v100_student,all,97,0.0056,-0.0101,0.0212,0.245
B6_stop200v100_student,short,55,0.0098,-0.0120,0.0335,0.193
B6_stop200v100_student,medium_long,42,-0.0013,-0.0174,0.0154,0.562
B6_stop200v100_teacher,all,97,0.0230,0.0032,0.0440,0.011
B6_stop200v100_teacher,short,55,0.0333,0.0069,0.0606,0.007
B6_stop200v100_teacher,medium_long,42,0.0060,-0.0162,0.0278,0.282
B10_stop200v100_student,all,97,0.0221,0.0032,0.0481,0.009
B10_stop200v100_student,short,55,0.0456,0.0173,0.0809,0.000
B10_stop200v100_student,medium_long,42,-0.0154,-0.0405,0.0037,0.929
B10_stop200v100_teacher,all,97,-0.0059,-0.0220,0.0105,0.756
B10_stop200v100_teacher,short,55,-0.0104,-0.0339,0.0106,0.831
B10_stop200v100_teacher,medium_long,42,0.0014,-0.0151,0.0243,0.453
