arm,head,b256_full,b1024_full,delta,ci_lo,ci_hi,n,b256_triage,b1024_triage
β·10%,2L,1.566216709292974,1.24431994258729,-0.321896766705684,-0.3803819686048959,-0.262234192063165,97,1.658082891130378,1.37953832678274
β·10%,6L,1.6832398842020222,1.2773820768377109,-0.4058578073643113,-0.4825306171621109,-0.3302956896575,97,1.842906017523102,1.4202060846235773
β·0.8%,2L,1.436875494001805,1.3195472759210582,-0.11732821808074667,-0.15951491884777624,-0.07912472491202638,97,1.6348335395497435,1.443985295315826
β·0.8%,6L,1.400589810810544,1.331879294600653,-0.06871051620989088,-0.11111575952930686,-0.03141587455866923,97,1.5751862553740748,1.4714303918578073
allt·50%,2L,1.4607778686600132,1.2177663912925005,-0.24301147736751272,-0.28353692861628077,-0.20401411816849202,97,1.7214098959255535,1.2724267420242652
allt·50%,6L,1.5387382663674678,1.2018244012220147,-0.3369138651454531,-0.40200831516993474,-0.2787912809870927,97,1.7264098189066517,1.2417227253690586
allt·10%,2L,1.5972753745760044,1.2224828377908004,-0.3747925367852041,-0.4377655352383043,-0.31389359784367055,97,1.6333043515618013,1.2925842300203727
allt·10%,6L,1.6938663857385494,1.1911667916403894,-0.50269959409816,-0.5853595306036787,-0.42602527915770616,97,1.9595661436556708,1.258730227063157
allt·0.8%,2L,2.2179617808401466,1.2126660560196778,-1.0052957248204688,-1.1513338978745395,-0.8713891200629309,97,2.2589429824570515,1.2611771057554362
allt·0.8%,6L,1.8482449712506384,1.198200933588631,-0.6500440376620074,-0.7479485917296118,-0.5573424082683247,97,2.05278233354873,1.2770373747991932
