A,B,why,head,ckpt,gm_A,gm_B,delta,ci_lo,ci_hi,n,verdict
a2_sg_enc3_nobn,a3_sg_enc6_nobn,capacity enc3->enc6 (nobn) WITH sg [hypothesis],2L,best,1.1767794644053335,1.1800923396531624,0.0033128752478288614,-0.0208275953763013,0.026795861402507226,97,ns (CI straddles 0)
a2_sg_enc3_nobn,a3_sg_enc6_nobn,capacity enc3->enc6 (nobn) WITH sg [hypothesis],2L,last,1.180075049027856,1.2134387976249226,0.03336374859706659,0.010441410671662377,0.05719436068091399,97,B worse (reliable)
a2_sg_enc3_nobn,a3_sg_enc6_nobn,capacity enc3->enc6 (nobn) WITH sg [hypothesis],6L,best,1.1586636106803785,1.160596443446397,0.0019328327660184108,-0.016806986816360725,0.019614433499000272,97,ns (CI straddles 0)
a2_sg_enc3_nobn,a3_sg_enc6_nobn,capacity enc3->enc6 (nobn) WITH sg [hypothesis],6L,last,1.1629340235718684,1.1932610880596872,0.030327064487818856,0.010547910532461735,0.05241946008814913,97,B worse (reliable)
a1_bn_enc6,a4_sg_enc6_bn,stop-grad ON base (enc6+bn) [hypothesis],2L,best,1.1860846722795841,1.1996625979638198,0.013577925684235659,-0.003505208822307093,0.029155251657458248,97,ns (CI straddles 0)
a1_bn_enc6,a4_sg_enc6_bn,stop-grad ON base (enc6+bn) [hypothesis],2L,last,1.1874496137210193,2.26518459961727,1.0777349858962508,0.7709659875855888,1.482028591052236,97,B worse (reliable)
a1_bn_enc6,a4_sg_enc6_bn,stop-grad ON base (enc6+bn) [hypothesis],6L,best,1.1849447576820347,1.1830211840778482,-0.0019235736041864904,-0.023848515095730383,0.018071369742640897,97,ns (CI straddles 0)
a1_bn_enc6,a4_sg_enc6_bn,stop-grad ON base (enc6+bn) [hypothesis],6L,last,1.1898136628470222,2.2007984936617206,1.0109848308146985,0.7042604477471632,1.4105779333502788,97,B worse (reliable)
a2_sg_enc3_nobn,a4_sg_enc6_bn,enc6+bn vs enc3+nobn WITH sg [hypothesis],2L,best,1.1767794644053335,1.1996625979638198,0.022883133558486257,-0.0040122003994680355,0.04926335507927759,97,ns (CI straddles 0)
a2_sg_enc3_nobn,a4_sg_enc6_bn,enc6+bn vs enc3+nobn WITH sg [hypothesis],2L,last,1.180075049027856,2.26518459961727,1.0851095505894142,0.780264293893089,1.4837914619918997,97,B worse (reliable)
a2_sg_enc3_nobn,a4_sg_enc6_bn,enc6+bn vs enc3+nobn WITH sg [hypothesis],6L,best,1.1586636106803785,1.1830211840778482,0.02435757339746969,-0.001451913945512251,0.04789102735449924,97,ns (CI straddles 0)
