step,q_random,q_naive_latent,u_temporal,u_batch,auc,top1
50000,0.31767651438713074,0.3902961313724518,0.03706183284521103,0.07520623505115509,0.891135036945343,0.7439587712287903
60000,0.2851255536079407,0.3579276502132416,0.032701849937438965,0.06533622741699219,0.8955473899841309,0.750901460647583
70000,0.3133164644241333,0.38552385568618774,0.036365535110235214,0.07333465665578842,0.8948831558227539,0.7496046423912048
80000,0.3004190921783447,0.3733946681022644,0.03486806899309158,0.0691622793674469,0.8966781497001648,0.7521033883094788
90000,0.30214738845825195,0.37450355291366577,0.03466981649398804,0.06798681616783142,0.8922815918922424,0.7447494864463806
100000,0.3029765486717224,0.3791376054286957,0.03221229091286659,0.05954112857580185,0.8937286734580994,0.7470584511756897
110000,0.31858816742897034,0.3947998881340027,0.03617959842085838,0.07070116698741913,0.8945510387420654,0.7486082911491394
120000,0.2915053069591522,0.36909493803977966,0.03230282664299011,0.06271688640117645,0.8954208493232727,0.7517712712287903
130000,0.2980075776576996,0.3728455901145935,0.034097347408533096,0.06610996276140213,0.8952824473381042,0.7508065700531006
140000,0.30278685688972473,0.376051664352417,0.03461860492825508,0.0673748254776001,0.8957094550132751,0.7535899877548218
150000,0.3196521997451782,0.3985491096973419,0.03677418828010559,0.07226870954036713,0.8923488259315491,0.7454137206077576
160000,0.29981333017349243,0.37432441115379333,0.03510201722383499,0.069268137216568,0.8952112793922424,0.7509647011756897
167000,0.3161350190639496,0.39203929901123047,0.03754762187600136,0.07619976997375488,0.8965792655944824,0.7531155347824097
