name,r2_random,r2_naive,u_temporal,u_batch,auc,top1
moirai_hp_FINAL_run1,0.6758683025836945,0.6090927124023438,0.0403345450758934,0.07536227256059647,0.8901506066322327,0.7402106523513794
backbone_beta_167k,0.6838649809360504,0.6079607009887695,0.03754762187600136,0.07619976997375488,0.8965792655944824,0.7531155347824097
FRESH_50k,0.6951311826705933,0.6244288384914398,0.03406044840812683,0.0670141652226448,0.8922341465950012,0.746757984161377
moirai_hp_early,0.698273092508316,0.6319079697132111,0.033848680555820465,0.06586053967475891,0.8928588628768921,0.7432312965393066
learnable_tau,0.7633533775806427,0.6952138543128967,0.0134154437109828,0.02045668661594391,0.8888102769851685,0.7364783883094788
