arm_slug,label,step_later,drift_h,drift_e
arm3_tr1,"arm 3 tr1  (L_pred_moco + L_rep, all τ=1.0)",175000,0.948331,0.661176
arm3_tr1,"arm 3 tr1  (L_pred_moco + L_rep, all τ=1.0)",200000,0.946548,0.559256
arm4_tr1,"arm 4 tr1  (pooled + MoCo, all τ=1.0)",10000,0.897844,0.521209
arm4_tr1,"arm 4 tr1  (pooled + MoCo, all τ=1.0)",20000,0.953503,0.785262
arm4_tr1,"arm 4 tr1  (pooled + MoCo, all τ=1.0)",30000,0.913444,0.658185
arm4_tr1,"arm 4 tr1  (pooled + MoCo, all τ=1.0)",40000,0.906839,0.568876
arm4_tr1,"arm 4 tr1  (pooled + MoCo, all τ=1.0)",50000,0.792209,0.412510
arm4_tr1,"arm 4 tr1  (pooled + MoCo, all τ=1.0)",75000,0.864110,0.558123
arm4_tr1,"arm 4 tr1  (pooled + MoCo, all τ=1.0)",100000,0.849637,0.663397
arm5_tr1,"arm 5 tr1  (L_align→teacher + L_rep, all τ=1.0)",10000,0.878562,0.556298
arm5_tr1,"arm 5 tr1  (L_align→teacher + L_rep, all τ=1.0)",20000,0.891595,0.600120
arm5_tr1,"arm 5 tr1  (L_align→teacher + L_rep, all τ=1.0)",30000,0.913409,0.624214
arm5_tr1,"arm 5 tr1  (L_align→teacher + L_rep, all τ=1.0)",40000,0.892211,0.670890
arm5_tr1,"arm 5 tr1  (L_align→teacher + L_rep, all τ=1.0)",50000,0.880096,0.726716
arm5_tr1,"arm 5 tr1  (L_align→teacher + L_rep, all τ=1.0)",75000,0.995668,0.919958
arm5_tr1,"arm 5 tr1  (L_align→teacher + L_rep, all τ=1.0)",100000,0.975260,0.820433
arm6_v2_tr1,"arm 6 v2 tr1  (L_align→teacher + L_rep_moco, all τ=1.0)",10000,0.977229,0.744761
arm6_v2_tr1,"arm 6 v2 tr1  (L_align→teacher + L_rep_moco, all τ=1.0)",20000,0.934170,0.436023
arm6_v2_tr1,"arm 6 v2 tr1  (L_align→teacher + L_rep_moco, all τ=1.0)",30000,1.040512,0.429963
