run,flagged,n_rows,step_max,n_nonfinite,loss_final,loss_min,loss_max,rise_from_min,max_jump_iqr,qk_max,resid_max,qk_trend
bb_small_arm6_v2_lalign_lrepmoco_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090_alignteacher,"arm6_v2 base — 1.4322 at 40k, 1.9057 at 100k",997,100000,0,4.9326,4.6983,16.9824,0.2342,1.2400,12.7465,28.1721,1.3808
bb_small_arm6_v2_ncpc_lalign_lrepmoco_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,,1498,200000,0,5.1224,4.8682,11.3370,0.2542,1.0891,256.7562,20.8952,4.2611
bb_small_arm6_v2_ncpc_lalign_lrepmoco_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090_alignteacher,,1497,200000,0,5.1608,4.8914,11.2140,0.2694,2.2245,38.6753,21.3771,0.8939
bb_small_arm6_v2_nse_lalign_lrepmoco_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,,998,100000,0,4.9510,4.7428,17.0778,0.2082,1.2135,15.6656,29.5583,2.1568
bb_small_arm6_v2_nse_lalign_lrepmoco_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090_alignteacher,,997,100000,0,4.9788,4.7027,16.9252,0.2761,0.9365,215.6036,28.6051,6.1492
bb_small_arm6_v2_tr1_lalign_lrepmoco_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,,998,100000,0,11.7549,11.7315,19.5564,0.0234,1.3311,25.6667,31.7744,1.9042
bb_small_arm6_v2_tr1_lalign_lrepmoco_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090_alignteacher,,997,100000,0,11.7998,11.7512,19.4038,0.0486,1.7942,38.3083,31.1385,1.6973
bb_small_bimoco_combab_split_pred_rep_moco_bothsides_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,,998,100000,0,15.2652,14.5423,20.7107,0.7229,0.6841,11.4213,15.1755,1.9058
bb_small_bimoco_ncpc_split_pred_rep_moco_bothsides_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,,998,100000,0,9.3101,8.4297,18.4038,0.8804,1.7531,21.6963,17.8889,2.1429
bb_small_bimoco_nse_split_pred_rep_moco_bothsides_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,,998,100000,0,7.4389,6.8324,23.9210,0.6065,1.0201,14.6685,23.9535,1.8288
bb_small_bimoco_split_pred_rep_moco_bothsides_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,,1698,200000,0,7.7394,7.0583,23.9782,0.6811,1.3723,18.4127,23.6047,1.3379
bb_small_bimoco_tr1_split_pred_rep_moco_bothsides_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,,998,100000,0,14.6731,14.0788,26.3997,0.5943,1.1465,187.9543,25.5439,4.8741
