run,window,n_rows,loss_first,loss_last,loss_min,delta,qk_max,qk_mean
bb_small_arm4_ncpc_xshh_allt_moco_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,40k-100k,300,4.9675,4.9012,4.3181,-0.0663,17.02,7.19
bb_small_arm4_nse_xshh_allt_moco_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,0k-40k,698,11.0813,3.7040,3.4997,-7.3774,26.69,9.74
bb_small_arm4_nse_xshh_allt_moco_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,40k-100k,300,3.6905,3.5841,3.4315,-0.1064,22.06,11.01
bb_small_arm4_tr1_xshh_allt_moco_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,0k-40k,698,11.1321,3.7368,3.5226,-7.3954,23.66,9.08
bb_small_arm4_tr1_xshh_allt_moco_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,40k-100k,300,3.7242,3.6138,3.4123,-0.1104,22.62,9.58
bb_small_arm4_xshh_allt_moco_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,0k-40k,773,10.9155,3.7305,3.5226,-7.1850,23.66,9.21
bb_small_arm4_xshh_allt_moco_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,40k-100k,414,3.7585,3.6413,3.4135,-0.1172,22.52,9.43
bb_small_arm5_combab_lalign_lrep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,0k-40k,698,13.9190,13.4878,13.3068,-0.4312,12.18,5.68
bb_small_arm5_combab_lalign_lrep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,40k-100k,300,13.4290,13.3437,13.2314,-0.0852,191.64,14.09
bb_small_arm5_combab_lalign_lrep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,100k-200k,500,13.3602,13.3752,13.2435,+0.0149,218.63,29.02
bb_small_arm5_combab_lalign_lrep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090_alignteacher,0k-40k,697,13.5982,13.0853,12.9769,-0.5129,135.03,14.00
bb_small_arm5_combab_lalign_lrep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090_alignteacher,40k-100k,300,13.0184,13.1007,12.9196,+0.0823,188.18,22.89
bb_small_arm5_lalign_lrep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,0k-40k,773,19.9267,13.9532,13.9260,-5.9735,29.63,12.83
bb_small_arm5_lalign_lrep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,40k-100k,362,13.9547,13.9492,13.9296,-0.0055,30.39,13.39
bb_small_arm5_lalign_lrep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090_alignteacher,0k-40k,697,19.8472,14.1680,14.0877,-5.6793,18.46,7.90
bb_small_arm5_lalign_lrep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090_alignteacher,40k-100k,300,14.1763,14.0795,14.0397,-0.0968,13.85,7.59
bb_small_arm5_ncpc_lalign_lrep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,0k-40k,698,16.0096,14.2297,14.2088,-1.7800,15.90,7.20
bb_small_arm5_ncpc_lalign_lrep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,40k-100k,300,14.2260,14.2357,14.2020,+0.0097,15.33,7.84
