step,latent,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
60000,student_h,adjacent,40000,20000,0.487521,0.399937,0.087584,0.423321
60000,teacher_h,adjacent,40000,20000,0.487131,0.401085,0.086047,0.421138
80000,student_h,adjacent,60000,20000,0.456030,0.371248,0.084782,0.450913
80000,student_h,vs_initial,40000,40000,0.674059,0.539323,0.134736,0.286829
80000,teacher_h,adjacent,60000,20000,0.457747,0.372521,0.085226,0.450004
80000,teacher_h,vs_initial,40000,40000,0.674821,0.540636,0.134185,0.286863
100000,student_h,adjacent,80000,20000,0.161395,0.124980,0.036415,0.802768
100000,student_h,vs_initial,40000,60000,0.713286,0.579945,0.133341,0.244590
100000,teacher_h,adjacent,80000,20000,0.161039,0.125425,0.035614,0.803231
100000,teacher_h,vs_initial,40000,60000,0.712370,0.579377,0.132993,0.244292
