step,latent,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
60000,student_h,adjacent,40000,20000,0.545045,0.374987,0.170058,0.491580
60000,teacher_h,adjacent,40000,20000,0.548887,0.381784,0.167102,0.487086
80000,student_h,adjacent,60000,20000,0.426265,0.275730,0.150536,0.614067
80000,student_h,vs_initial,40000,40000,0.688267,0.487865,0.200402,0.395817
80000,teacher_h,adjacent,60000,20000,0.420717,0.269678,0.151039,0.623021
80000,teacher_h,vs_initial,40000,40000,0.685985,0.483355,0.202630,0.401044
100000,student_h,adjacent,80000,20000,0.164891,0.118242,0.046649,0.820032
100000,student_h,vs_initial,40000,60000,0.719941,0.516443,0.203497,0.378878
100000,teacher_h,adjacent,80000,20000,0.156786,0.112798,0.043988,0.828101
100000,teacher_h,vs_initial,40000,60000,0.718410,0.518718,0.199693,0.379278
