step,latent,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
120000,student_h,adjacent,100000,20000,0.167716,0.097623,0.070092,0.825296
120000,teacher_h,adjacent,100000,20000,0.000622,0.000478,0.000144,0.999056
140000,student_h,adjacent,120000,20000,0.184395,0.097057,0.087338,0.847680
140000,student_h,vs_initial,100000,40000,0.267173,0.122482,0.144691,0.800820
140000,teacher_h,adjacent,120000,20000,0.000457,0.000391,0.000067,0.999511
140000,teacher_h,vs_initial,100000,40000,0.000528,0.000404,0.000123,0.999395
160000,student_h,adjacent,140000,20000,0.194580,0.102973,0.091608,0.820349
160000,student_h,vs_initial,100000,60000,0.334232,0.140996,0.193236,0.769257
160000,teacher_h,adjacent,140000,20000,0.000166,0.000131,0.000035,0.999814
160000,teacher_h,vs_initial,100000,60000,0.000678,0.000571,0.000107,0.999161
180000,student_h,adjacent,160000,20000,0.173048,0.088938,0.084110,0.865647
180000,student_h,vs_initial,100000,80000,0.415998,0.169665,0.246333,0.704969
180000,teacher_h,adjacent,160000,20000,0.001109,0.000971,0.000138,0.998474
180000,teacher_h,vs_initial,100000,80000,0.000631,0.000483,0.000147,0.998774
200000,student_h,adjacent,180000,20000,0.200257,0.098704,0.101553,0.827323
200000,student_h,vs_initial,100000,100000,0.541116,0.232450,0.308666,0.499770
200000,teacher_h,adjacent,180000,20000,0.000086,0.000068,0.000018,0.999885
200000,teacher_h,vs_initial,100000,100000,0.000829,0.000668,0.000161,0.998335
