step,latent,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
60000,student_h,adjacent,40000,20000,0.900825,0.596531,0.304294,0.293253
60000,teacher_h,adjacent,40000,20000,0.902338,0.597253,0.305085,0.293293
80000,student_h,adjacent,60000,20000,0.900682,0.588125,0.312557,0.280840
80000,student_h,vs_initial,40000,40000,0.943092,0.677616,0.265476,0.223597
80000,teacher_h,adjacent,60000,20000,0.897250,0.585113,0.312137,0.285307
80000,teacher_h,vs_initial,40000,40000,0.944252,0.680247,0.264005,0.221908
100000,student_h,adjacent,80000,20000,0.840646,0.462643,0.378003,0.440366
100000,student_h,vs_initial,40000,60000,0.956975,0.684281,0.272695,0.195403
100000,teacher_h,adjacent,80000,20000,0.820256,0.434320,0.385936,0.462444
100000,teacher_h,vs_initial,40000,60000,0.953114,0.678373,0.274741,0.197384
