step,latent,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
20000,student_h,adjacent,0,20000,1.024877,0.569265,0.455612,0.131919
20000,teacher_h,adjacent,0,20000,1.017629,0.577864,0.439765,0.110463
40000,student_h,adjacent,20000,20000,0.972817,0.470673,0.502144,0.244399
40000,student_h,vs_initial,0,40000,0.974560,0.516011,0.458549,0.097664
40000,teacher_h,adjacent,20000,20000,0.976644,0.488574,0.488069,0.197923
40000,teacher_h,vs_initial,0,40000,0.969150,0.519961,0.449189,0.103272
