step,latent,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
10000,student_h,adjacent,0,10000,0.911742,0.667582,0.244160,0.222084
10000,teacher_h,adjacent,0,10000,0.912998,0.669993,0.243005,0.221740
20000,student_h,adjacent,10000,10000,0.673391,0.390288,0.283103,0.509626
20000,student_h,vs_initial,0,20000,0.958311,0.704717,0.253594,0.188785
20000,teacher_h,adjacent,10000,10000,0.673871,0.389420,0.284451,0.508242
20000,teacher_h,vs_initial,0,20000,0.957556,0.700288,0.257268,0.187673
30000,student_h,adjacent,20000,10000,0.606102,0.431642,0.174460,0.455349
30000,student_h,vs_initial,0,30000,0.949805,0.687028,0.262777,0.191194
30000,teacher_h,adjacent,20000,10000,0.603284,0.428866,0.174418,0.455641
30000,teacher_h,vs_initial,0,30000,0.950642,0.693780,0.256862,0.190232
40000,student_h,adjacent,30000,10000,0.484928,0.375021,0.109907,0.519410
40000,student_h,vs_initial,0,40000,0.967196,0.706604,0.260592,0.186505
40000,teacher_h,adjacent,30000,10000,0.480602,0.370161,0.110440,0.524064
40000,teacher_h,vs_initial,0,40000,0.968853,0.705492,0.263361,0.187782
