step,latent,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
50000,student_h,adjacent,40000,10000,0.916085,0.625055,0.291030,0.156668
50000,teacher_h,adjacent,40000,10000,0.914556,0.609994,0.304562,0.163951
75000,student_h,adjacent,50000,25000,1.030580,0.651153,0.379428,0.141716
75000,student_h,vs_initial,40000,35000,0.972884,0.681305,0.291579,0.133553
75000,teacher_h,adjacent,50000,25000,1.023135,0.639260,0.383875,0.143854
75000,teacher_h,vs_initial,40000,35000,0.968849,0.681805,0.287045,0.129866
100000,student_h,adjacent,75000,25000,0.982511,0.660628,0.321883,0.126537
100000,student_h,vs_initial,40000,60000,1.003725,0.658854,0.344871,0.131672
100000,teacher_h,adjacent,75000,25000,0.984058,0.669298,0.314760,0.120916
100000,teacher_h,vs_initial,40000,60000,1.004866,0.665314,0.339553,0.130856
