step,latent,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
10000,student_h,adjacent,0,10000,0.899548,0.689082,0.210466,0.213900
10000,teacher_h,adjacent,0,10000,0.899167,0.691582,0.207585,0.214402
20000,student_h,adjacent,10000,10000,0.654373,0.426018,0.228355,0.458956
20000,student_h,vs_initial,0,20000,0.941063,0.732861,0.208202,0.186060
20000,teacher_h,adjacent,10000,10000,0.651974,0.426651,0.225323,0.458375
20000,teacher_h,vs_initial,0,20000,0.941604,0.733369,0.208235,0.185582
30000,student_h,adjacent,20000,10000,0.425335,0.289272,0.136063,0.608131
30000,student_h,vs_initial,0,30000,0.959887,0.735169,0.224718,0.187853
30000,teacher_h,adjacent,20000,10000,0.422634,0.286229,0.136405,0.609438
30000,teacher_h,vs_initial,0,30000,0.961315,0.739493,0.221822,0.185590
40000,student_h,adjacent,30000,10000,0.410067,0.304293,0.105774,0.614099
40000,student_h,vs_initial,0,40000,0.965049,0.734240,0.230809,0.173626
40000,teacher_h,adjacent,30000,10000,0.407659,0.301228,0.106431,0.613579
40000,teacher_h,vs_initial,0,40000,0.964936,0.736949,0.227987,0.173846
