step,latent,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
10000,student_h,adjacent,0,10000,0.951050,0.391332,0.559718,0.146076
10000,teacher_h,adjacent,0,10000,0.948806,0.405614,0.543192,0.144884
20000,student_h,adjacent,10000,10000,1.001178,0.383746,0.617432,0.216774
20000,student_h,vs_initial,0,20000,1.071019,0.459033,0.611986,0.160016
20000,teacher_h,adjacent,10000,10000,1.043431,0.368001,0.675430,0.211696
20000,teacher_h,vs_initial,0,20000,1.113016,0.421193,0.691823,0.169934
30000,student_h,adjacent,20000,10000,0.975540,0.410167,0.565373,0.220308
30000,student_h,vs_initial,0,30000,1.017671,0.448391,0.569280,0.159092
30000,teacher_h,adjacent,20000,10000,0.948598,0.391374,0.557224,0.225407
30000,teacher_h,vs_initial,0,30000,1.047377,0.427219,0.620157,0.162847
40000,student_h,adjacent,30000,10000,0.977788,0.389411,0.588377,0.272535
40000,student_h,vs_initial,0,40000,1.086290,0.411237,0.675053,0.205194
40000,teacher_h,adjacent,30000,10000,0.916683,0.347263,0.569420,0.315752
40000,teacher_h,vs_initial,0,40000,1.090653,0.410811,0.679842,0.198285
