step,latent,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
125000,student_h,adjacent,100000,25000,0.955220,0.560882,0.394338,0.202610
125000,teacher_h,adjacent,100000,25000,0.947893,0.559295,0.388598,0.199623
150000,student_h,adjacent,125000,25000,0.949612,0.511618,0.437993,0.230899
150000,student_h,vs_initial,100000,50000,0.941087,0.444179,0.496908,0.286505
150000,teacher_h,adjacent,125000,25000,0.950729,0.512434,0.438295,0.229163
150000,teacher_h,vs_initial,100000,50000,0.945325,0.440540,0.504785,0.305562
175000,student_h,adjacent,150000,25000,0.998546,0.537950,0.460596,0.184434
175000,student_h,vs_initial,100000,75000,0.968349,0.539873,0.428475,0.203929
175000,teacher_h,adjacent,150000,25000,0.991256,0.536162,0.455094,0.188118
175000,teacher_h,vs_initial,100000,75000,0.970407,0.535394,0.435013,0.206083
200000,student_h,adjacent,175000,25000,0.961010,0.662188,0.298822,0.057998
200000,student_h,vs_initial,100000,100000,0.958192,0.634988,0.323204,0.062461
200000,teacher_h,adjacent,175000,25000,0.960123,0.658683,0.301440,0.058301
200000,teacher_h,vs_initial,100000,100000,0.962310,0.633184,0.329126,0.063071
