step,latent,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
10000,student_h,adjacent,0,10000,0.782694,0.442725,0.339969,0.385462
10000,teacher_h,adjacent,0,10000,0.780707,0.437843,0.342864,0.387791
20000,student_h,adjacent,10000,10000,0.509523,0.181128,0.328394,0.737818
20000,student_h,vs_initial,0,20000,0.862907,0.348282,0.514625,0.389927
20000,teacher_h,adjacent,10000,10000,0.504669,0.181269,0.323399,0.736054
20000,teacher_h,vs_initial,0,20000,0.863117,0.351543,0.511574,0.388725
30000,student_h,adjacent,20000,10000,0.417038,0.186254,0.230784,0.677728
30000,student_h,vs_initial,0,30000,0.966940,0.365124,0.601816,0.359648
30000,teacher_h,adjacent,20000,10000,0.414481,0.186686,0.227795,0.672987
30000,teacher_h,vs_initial,0,30000,0.968828,0.361725,0.607104,0.360493
40000,student_h,adjacent,30000,10000,0.383650,0.155940,0.227710,0.722061
40000,student_h,vs_initial,0,40000,1.012405,0.351228,0.661177,0.324880
40000,teacher_h,adjacent,30000,10000,0.384785,0.153006,0.231779,0.727858
40000,teacher_h,vs_initial,0,40000,1.019337,0.344436,0.674901,0.323058
