step,latent,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
10000,student_h,adjacent,0,10000,0.830421,0.610636,0.219785,0.322063
10000,teacher_h,adjacent,0,10000,0.828523,0.614387,0.214136,0.323476
20000,student_h,adjacent,10000,10000,0.718041,0.527013,0.191029,0.394206
20000,student_h,vs_initial,0,20000,0.912462,0.671169,0.241294,0.222293
20000,teacher_h,adjacent,10000,10000,0.718461,0.527190,0.191272,0.394826
20000,teacher_h,vs_initial,0,20000,0.911562,0.672083,0.239479,0.222172
30000,student_h,adjacent,20000,10000,0.625727,0.517398,0.108329,0.337440
30000,student_h,vs_initial,0,30000,0.944861,0.726728,0.218134,0.177927
30000,teacher_h,adjacent,20000,10000,0.627762,0.519336,0.108425,0.335691
30000,teacher_h,vs_initial,0,30000,0.944121,0.730553,0.213567,0.176898
40000,student_h,adjacent,30000,10000,0.592210,0.494302,0.097908,0.342272
40000,student_h,vs_initial,0,40000,0.962208,0.699425,0.262782,0.152569
40000,teacher_h,adjacent,30000,10000,0.590934,0.494069,0.096865,0.343082
40000,teacher_h,vs_initial,0,40000,0.961666,0.701966,0.259700,0.153076
