step,latent,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
10000,student_h,adjacent,0,10000,0.813692,0.481184,0.332507,0.183229
10000,teacher_h,adjacent,0,10000,0.836817,0.516292,0.320525,0.171786
20000,student_h,adjacent,10000,10000,0.975125,0.543202,0.431923,0.217199
20000,student_h,vs_initial,0,20000,1.000215,0.654093,0.346122,0.093624
20000,teacher_h,adjacent,10000,10000,0.967934,0.542464,0.425470,0.207698
20000,teacher_h,vs_initial,0,20000,1.008043,0.654440,0.353603,0.094059
30000,student_h,adjacent,20000,10000,0.833550,0.548974,0.284575,0.212266
30000,student_h,vs_initial,0,30000,0.998237,0.698161,0.300077,0.093642
30000,teacher_h,adjacent,20000,10000,0.826721,0.551047,0.275673,0.207603
30000,teacher_h,vs_initial,0,30000,0.996583,0.697379,0.299204,0.095094
40000,student_h,adjacent,30000,10000,0.856893,0.459454,0.397439,0.314423
40000,student_h,vs_initial,0,40000,0.980510,0.762539,0.217972,0.073181
40000,teacher_h,adjacent,30000,10000,0.850019,0.456296,0.393723,0.321074
40000,teacher_h,vs_initial,0,40000,0.981683,0.758682,0.223001,0.074531
