step,loss,hf_rows_consumed
1,0.3619612455368042,256
2,0.3589017391204834,512
3,0.36226844787597656,768
4,0.3612992763519287,1024
5,0.35740894079208374,1280
6,0.35702744126319885,1536
7,0.35600966215133667,1792
8,0.3545125722885132,2048
9,0.3461339771747589,2304
10,0.3583422899246216,2560
11,0.3560730814933777,2816
12,0.3471868932247162,3072
13,0.3539734482765198,3328
14,0.3371089994907379,3584
15,0.33444374799728394,3840
16,0.3193877637386322,4096
17,0.3447890281677246,4352
18,0.3335695266723633,4608
19,0.335659384727478,4864
20,0.3281177878379822,5120
21,0.336322158575058,5376
22,0.32961055636405945,5632
23,0.3278682827949524,5888
24,0.3289351463317871,6144
25,0.32940539717674255,6400
26,0.31312066316604614,6656
27,0.31763309240341187,6912
28,0.3185780942440033,7168
29,0.32520267367362976,7424
30,0.31474265456199646,7680
31,0.32525724172592163,7936
32,0.3176894187927246,8192
33,0.31726568937301636,8448
34,0.31370681524276733,8704
35,0.31723690032958984,8960
36,0.3129265308380127,9216
37,0.3099939823150635,9472
38,0.3195853531360626,9728
39,0.3086748421192169,9984
40,0.3127961754798889,10240
41,0.30656197667121887,10496
42,0.3185195326805115,10752
43,0.31329017877578735,11008
44,0.31170281767845154,11264
45,0.3016594648361206,11520
46,0.3178369402885437,11776
47,0.3111962378025055,12032
48,0.3149528205394745,12288
49,0.31574222445487976,12544
50,0.29783663153648376,12800
51,0.31087028980255127,13056
52,0.30811455845832825,13312
53,0.3026476204395294,13568
54,0.30127954483032227,13824
55,0.3101402223110199,14080
56,0.30797696113586426,14336
57,0.30541154742240906,14592
58,0.30906763672828674,14848
59,0.30830591917037964,15104
60,0.3041374087333679,15360
61,0.3106305003166199,15616
62,0.30545830726623535,15872
63,0.2938029170036316,16128
64,0.30751654505729675,16384
65,0.2993520200252533,16640
66,0.30787521600723267,16896
67,0.2982727289199829,17152
68,0.30377206206321716,17408
69,0.30975574254989624,17664
70,0.2922838032245636,17920
71,0.29953211545944214,18176
72,0.3000245690345764,18432
73,0.2988503873348236,18688
74,0.294968843460083,18944
75,0.2930182218551636,19200
76,0.2796561121940613,19456
77,0.28620949387550354,19712
78,0.2817439138889313,19968
79,0.2982926070690155,20224
80,0.2920798063278198,20480
81,0.27846381068229675,20736
82,0.28419139981269836,20992
83,0.2819700241088867,21248
84,0.28626003861427307,21504
85,0.2739790678024292,21760
86,0.2781849801540375,22016
87,0.2695420980453491,22272
88,0.2688491940498352,22528
89,0.2774428427219391,22784
90,0.271531343460083,23040
91,0.26377424597740173,23296
92,0.2717234194278717,23552
93,0.2693069279193878,23808
94,0.2614331543445587,24064
95,0.25475457310676575,24320
96,0.26610371470451355,24576
97,0.2714664936065674,24832
98,0.271344929933548,25088
99,0.26056617498397827,25344
