step,loss,loss_tau_ref,gap,gap_ratio,ff,fp,tp,cross_batch,hf_rows_consumed,synth_rows_consumed,mixup_applied,r2_random,r2_naive,u_temporal,u_batch,auc,top1,top3,cpc_aux,sigreg_e,sigreg_h,u_temporal_e,u_batch_e,u_batchtime,u_batchtime_e
37501,3.6145641803741455,10.449435234069824,0.5772714111953974,0.4323163254481283,0.5603821873664856,-0.01688922382891178,-0.0178189966827631,0.001348131219856441,38101016,300008,0,0.5583032071590424,0.5681380927562714,0.6222378015518188,0.7566856145858765,0.9999987483024597,0.9994334578514099,0.9999822378158569,0.004390450194478035,0.0011257205624133348,5.901534314034507e-05,0.022589610889554024,0.026407238095998764,0.7875092029571533,0.026631195098161697
37502,3.61004376411438,10.449155807495117,0.579665070399642,0.43126992185451407,0.5604380369186401,-0.019227033481001854,-0.019080428406596184,0.0012149628018960357,38102032,300016,0,0.5599013864994049,0.5687156915664673,0.6075103282928467,0.7600935101509094,0.999994158744812,0.9996458888053894,0.9999822378158569,0.0049841757863759995,0.001137829152867198,5.8244004321750253e-05,0.022445140406489372,0.026417458429932594,0.7887061834335327,0.02659870870411396
37503,3.623394012451172,10.490710258483887,0.5776697248220444,0.4336748188130167,0.5576378703117371,-0.020031854510307312,-0.020017104223370552,0.0013149500591680408,38103048,300024,0,0.5545362830162048,0.56637242436409,0.6283633708953857,0.759894847869873,0.9999991655349731,0.9996281862258911,0.9999999403953552,0.004137004259973764,0.0011488019954413176,5.855993731529452e-05,0.022560182958841324,0.02620047703385353,0.789772629737854,0.026401948183774948
37504,3.636812448501587,10.488903045654297,0.5763267632573843,0.4346054808954568,0.5569911599159241,-0.019335603341460228,-0.019523655995726585,0.0014364883536472917,38104064,300032,0,0.5558747053146362,0.5655302405357361,0.6256105899810791,0.7599387168884277,0.9999994039535522,0.9996989965438843,0.9999999403953552,0.003684224560856819,0.0012145941145718098,5.867754589417018e-05,0.022741729393601418,0.026554621756076813,0.7894119620323181,0.026761414483189583
37505,3.6981396675109863,10.586649894714355,0.5741498870775104,0.43350566252484546,0.5606359839439392,-0.013513903133571148,-0.014535182155668736,0.0020059626549482346,38105080,300040,1,0.5594145357608795,0.5669864118099213,0.6298032402992249,0.7121946811676025,0.9999988675117493,0.9994511604309082,0.9999999403953552,0.06692305952310562,0.0011037923395633698,5.91887001064606e-05,0.02215302176773548,0.026108719408512115,0.784086287021637,0.026500258594751358
37506,3.704807758331299,10.568953514099121,0.5797889679670334,0.4324972641085123,0.5581393241882324,-0.021649643778800964,-0.020529855042696,0.001761588267982006,38106096,300048,1,0.5563745498657227,0.5670768022537231,0.6344361901283264,0.7200121283531189,0.9999992847442627,0.9996281862258911,0.9999999403953552,0.05223553255200386,0.0011726130032911897,5.817449709866196e-05,0.022725192829966545,0.026229843497276306,0.7843561768531799,0.02656705118715763
37507,3.705787181854248,10.60029125213623,0.5800629388540983,0.43280380783718986,0.5573781132698059,-0.022684825584292412,-0.02077554725110531,0.0019119575154036283,38107112,300056,1,0.5563857555389404,0.5664412975311279,0.642693281173706,0.7138298749923706,0.9999988675117493,0.9994688630104065,0.9999822378158569,0.058120980858802795,0.0011890107998624444,5.873966438230127e-05,0.022762687876820564,0.025918804109096527,0.7828966975212097,0.026282677426934242
37508,3.631498336791992,10.541284561157227,0.5710654333233833,0.4383532557898385,0.5542956590652466,-0.01676977425813675,-0.01695195958018303,0.001357174594886601,38108128,300064,0,0.5531365871429443,0.5617766976356506,0.6106936931610107,0.7573869824409485,0.9999890327453613,0.9973089694976807,0.9993095397949219,0.0038921779487282038,0.0010878047905862331,6.100511382101104e-05,0.022600365802645683,0.026748206466436386,0.7865594029426575,0.026935212314128876
37509,3.624664545059204,10.503682136535645,0.5754337217658758,0.4355848590101666,0.5559116005897522,-0.01952212117612362,-0.019705306738615036,0.0013205191353335977,38109144,300072,1,0.5536102950572968,0.5645447373390198,0.608193039894104,0.7572520971298218,0.9999984502792358,0.9993095397949219,0.9999999403953552,0.004199675749987364,0.0011952245840802789,6.118051533121616e-05,0.022421706467866898,0.02667098492383957,0.7872439026832581,0.026851791888475418
37510,3.629706621170044,10.576777458190918,0.5658696005120873,0.44135383139378914,0.5529393553733826,-0.012930245138704777,-0.01492325495928526,0.0012717065401375294,38110160,300080,0,0.5513545274734497,0.5595681667327881,0.61338210105896,0.7544392347335815,0.9999986290931702,0.9993626475334167,0.9999999403953552,0.004854669328778982,0.0011186515912413597,5.978205444989726e-05,0.022317981347441673,0.026250071823596954,0.7849428653717041,0.02644442766904831
