name,loss_shape,encoder_type,r2_random_mean,r2_naive_mean,u_temporal_mean,u_batch_mean,auc_mean,top1_mean,r2_random_std,r2_naive_std,u_temporal_std,u_batch_std,auc_std,top1_std,n_samples
tau_sweep_0_20,baseline_cosine_similarity_batch,gru,0.7720965158939361,0.7293619793653489,0.0391647756844759,0.0837104819715023,0.9018747866153717,0.7565748536586762,0.006820230427870959,0.0082285374199366,0.0009449619314670781,0.0015282747774396205,0.0053905435910904095,0.009875721474904758,50
exp3_pos_htft_tau_0_20,cosine_similarity_batch_add_pos_htft,gru,0.007768814563751221,-0.0003013420104980469,0.2565759089589119,0.3030373400449753,0.5090757155418396,0.21467169165611266,0.005099435653167804,0.00011729680017123532,0.003762342161037795,0.0029801672732108404,0.0025538999777426352,0.0021563274378563397,50
exp4_only_fnegs_tau_0_20,cosine_similarity_batch_add_f_cross_negs,gru,0.7689680281281471,0.715376660823822,0.032494964711368084,0.06687139235436916,0.8975570356845856,0.7466096436977386,0.006348611059404124,0.007716068191022369,0.0008054694443722473,0.0017994018687013545,0.005617751265894239,0.010053796687901673,50
exp5_skip_fnegs_tau_0_20,cosine_similarity_batch_add_skip_f_negs,gru,0.7681779104471207,0.7260409444570541,0.039806170985102654,0.08507857799530029,0.9044583690166473,0.7605380380153656,0.007000255101102789,0.008487475240369427,0.0009518534156054426,0.0015624879666567518,0.005373787070232777,0.009832342332785278,50
