name,loss_shape,r2_random,r2_naive,u_temporal,u_batch,auc,top1
tau_sweep_0_20,baseline_cosine_similarity_batch,0.773096114397049,0.7256317436695099,0.038579970598220825,0.08497175574302673,0.8938314914703369,0.7469635605812073
exp3_pos_htft_tau_0_20,cosine_similarity_batch_add_pos_htft,0.012947559356689453,-0.000457763671875,0.252910852432251,0.30111992359161377,0.507856011390686,0.21460653841495514
exp4_only_fnegs_tau_0_20,cosine_similarity_batch_add_f_cross_negs,0.7707802206277847,0.7118239998817444,0.03193354234099388,0.06769290566444397,0.8902099132537842,0.7389138340950012
exp5_skip_fnegs_tau_0_20,cosine_similarity_batch_add_skip_f_negs,0.768691822886467,0.7217686176300049,0.03919416666030884,0.08638545870780945,0.8961206674575806,0.7500474452972412
