step,latent,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
500,student_h,adjacent,0,500,0.260731,0.181415,0.079316,0.769100
500,teacher_h,adjacent,0,500,0.260183,0.181035,0.079148,0.769363
1000,student_h,adjacent,500,500,0.114019,0.073342,0.040678,0.911928
1000,student_h,vs_initial,0,1000,0.330960,0.246581,0.084380,0.708949
1000,teacher_h,adjacent,500,500,0.113909,0.073199,0.040710,0.911005
1000,teacher_h,vs_initial,0,1000,0.333553,0.249341,0.084213,0.707436
1500,student_h,adjacent,1000,500,0.081058,0.050768,0.030290,0.936371
1500,student_h,vs_initial,0,1500,0.381723,0.284306,0.097417,0.660051
1500,teacher_h,adjacent,1000,500,0.079688,0.049693,0.029995,0.938077
1500,teacher_h,vs_initial,0,1500,0.379912,0.285149,0.094763,0.661684
