step,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
5000,adjacent,0,5000,1.039134,0.688618,0.350516,0.007004
10000,adjacent,5000,5000,1.049046,0.001809,1.047237,0.883713
10000,vs_initial,0,10000,1.060476,0.684851,0.375625,0.008665
15000,adjacent,10000,5000,1.237592,0.046424,1.191168,0.237303
15000,vs_initial,0,15000,1.029620,0.679910,0.349710,0.007701
20000,adjacent,15000,5000,0.676743,0.039654,0.637089,0.308506
20000,vs_initial,0,20000,1.047089,0.677221,0.369868,0.008624
25000,adjacent,20000,5000,1.322595,0.006508,1.316087,0.360364
25000,vs_initial,0,25000,0.989105,0.680804,0.308301,0.009910
30000,adjacent,25000,5000,0.157391,0.002346,0.155046,0.278770
30000,vs_initial,0,30000,1.021411,0.681884,0.339527,0.008862
35000,adjacent,30000,5000,0.760414,0.002463,0.757951,0.018454
35000,vs_initial,0,35000,1.033843,0.687566,0.346277,0.353005
40000,adjacent,35000,5000,0.536124,0.000007,0.536117,0.024684
40000,vs_initial,0,40000,1.001844,0.689290,0.312555,0.084177
45000,adjacent,40000,5000,0.013300,0.000001,0.013299,0.020768
45000,vs_initial,0,45000,1.001706,0.689290,0.312416,0.094589
50000,adjacent,45000,5000,0.069159,0.000000,0.069159,0.018300
50000,vs_initial,0,50000,0.984465,0.689212,0.295254,0.197466
55000,adjacent,50000,5000,0.475621,0.000001,0.475620,0.018401
55000,vs_initial,0,55000,0.994468,0.689294,0.305174,0.108670
60000,adjacent,55000,5000,0.184089,-0.000001,0.184090,0.166714
60000,vs_initial,0,60000,0.973220,0.689288,0.283932,0.144346
65000,adjacent,60000,5000,0.195504,-0.000000,0.195504,0.074173
65000,vs_initial,0,65000,0.986379,0.689278,0.297100,0.111730
70000,adjacent,65000,5000,0.422945,-0.000001,0.422946,0.000777
70000,vs_initial,0,70000,1.015527,0.689310,0.326217,0.001311
75000,adjacent,70000,5000,0.666933,-0.000003,0.666936,0.000015
75000,vs_initial,0,75000,1.020727,0.689310,0.331417,0.000722
80000,adjacent,75000,5000,0.126830,-0.000003,0.126833,0.000000
80000,vs_initial,0,80000,0.974542,0.689313,0.285229,0.000000
85000,adjacent,80000,5000,0.023576,-0.000003,0.023579,0.000000
85000,vs_initial,0,85000,0.983591,0.689313,0.294278,0.000000
90000,adjacent,85000,5000,0.757472,-0.000001,0.757473,0.000000
90000,vs_initial,0,90000,1.004839,0.689301,0.315538,0.020801
95000,adjacent,90000,5000,0.107750,0.000000,0.107750,0.001240
95000,vs_initial,0,95000,1.006954,0.689299,0.317655,0.020143
100000,adjacent,95000,5000,0.311007,-0.000000,0.311008,0.000000
100000,vs_initial,0,100000,1.007607,0.689313,0.318294,0.000000
