step,latent,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
9500,student_h,vs_initial,0,9500,0.825904,0.676574,0.149330,0.064227
9500,teacher_h,adjacent,9000,500,0.000903,0.000099,0.000804,0.970960
9500,teacher_h,vs_initial,0,9500,0.826003,0.676701,0.149302,0.063730
10000,student_h,adjacent,9500,500,0.000748,0.000103,0.000645,0.967609
10000,student_h,vs_initial,0,10000,0.827738,0.677449,0.150289,0.059523
10000,teacher_h,adjacent,9500,500,0.000727,0.000095,0.000633,0.971680
10000,teacher_h,vs_initial,0,10000,0.827659,0.677434,0.150225,0.060710
10500,student_h,adjacent,10000,500,0.000698,0.000100,0.000598,0.970088
10500,student_h,vs_initial,0,10500,0.830057,0.677975,0.152082,0.055858
10500,teacher_h,adjacent,10000,500,0.000664,0.000089,0.000575,0.972751
10500,teacher_h,vs_initial,0,10500,0.829688,0.678061,0.151627,0.056358
11000,student_h,adjacent,10500,500,0.000673,0.000117,0.000556,0.955993
11000,student_h,vs_initial,0,11000,0.831636,0.678538,0.153098,0.047699
11000,teacher_h,adjacent,10500,500,0.000641,0.000108,0.000533,0.956170
11000,teacher_h,vs_initial,0,11000,0.831551,0.678570,0.152980,0.048921
11500,student_h,adjacent,11000,500,0.000656,0.000112,0.000544,0.955363
11500,student_h,vs_initial,0,11500,0.833307,0.678729,0.154578,0.048592
11500,teacher_h,adjacent,11000,500,0.000591,0.000099,0.000493,0.961207
11500,teacher_h,vs_initial,0,11500,0.833208,0.678756,0.154452,0.048087
12000,student_h,adjacent,11500,500,0.000579,0.000113,0.000466,0.960036
12000,student_h,vs_initial,0,12000,0.834857,0.679082,0.155775,0.043196
12000,teacher_h,adjacent,11500,500,0.000551,0.000104,0.000447,0.964420
12000,teacher_h,vs_initial,0,12000,0.834894,0.678964,0.155930,0.042882
12500,student_h,adjacent,12000,500,0.000712,0.000105,0.000608,0.960340
12500,student_h,vs_initial,0,12500,0.836846,0.679386,0.157460,0.040964
12500,teacher_h,adjacent,12000,500,0.000659,0.000107,0.000553,0.957993
