head,ckpt,ref_gm,sg_gm,delta,ci_lo,ci_hi,n,verdict
2L,best,1.2198627909753665,1.1767794644053335,-0.043083326570033,-0.07138181661518006,-0.016010416268040117,97,BETTER (reliable)
2L,last,1.180605122676932,1.180075049027856,-0.0005300736490760904,-0.02379599227104867,0.02319823887814576,97,ns (CI straddles 0)
6L,best,1.2108113310003146,1.1586636106803785,-0.052147720319936086,-0.07891712872957446,-0.02504332001826226,97,BETTER (reliable)
6L,last,1.1695196591380774,1.1629340235718684,-0.006585635566209058,-0.028278950060294905,0.015444154419443912,97,ns (CI straddles 0)
