stop,split,name,n,gm_rel_mase
k8_bb100k_h100k_student,domain,Sales,4,0.869192
k8_bb100k_h100k_student,domain,Transport,15,1.091711
k8_bb100k_h100k_student,domain,Web/CloudOps,20,1.400974
k8_bb100k_h30k_student,all,all,97,1.285712
k8_bb100k_h30k_student,term,short,55,1.179765
k8_bb100k_h30k_student,term,medium,21,1.454840
k8_bb100k_h30k_student,term,long,21,1.423276
k8_bb100k_h30k_student,term,medium_long,42,1.438971
k8_bb100k_h30k_student,domain,Econ/Fin,6,1.963208
k8_bb100k_h30k_student,domain,Energy,32,1.513289
k8_bb100k_h30k_student,domain,Healthcare,5,1.258738
k8_bb100k_h30k_student,domain,Nature,15,0.924378
k8_bb100k_h30k_student,domain,Sales,4,0.857744
k8_bb100k_h30k_student,domain,Transport,15,1.082815
k8_bb100k_h30k_student,domain,Web/CloudOps,20,1.385556
k8_bb200k_h30k_student,all,all,97,1.289801
k8_bb200k_h30k_student,term,short,55,1.191487
k8_bb200k_h30k_student,term,medium,21,1.467228
k8_bb200k_h30k_student,term,long,21,1.395501
k8_bb200k_h30k_student,term,medium_long,42,1.430915
k8_bb200k_h30k_student,domain,Econ/Fin,6,2.092351
k8_bb200k_h30k_student,domain,Energy,32,1.519028
k8_bb200k_h30k_student,domain,Healthcare,5,1.267986
k8_bb200k_h30k_student,domain,Nature,15,0.904663
k8_bb200k_h30k_student,domain,Sales,4,0.831282
k8_bb200k_h30k_student,domain,Transport,15,1.083721
k8_bb200k_h30k_student,domain,Web/CloudOps,20,1.399773
k8_bb40k_h30k_student,all,all,97,1.243277
k8_bb40k_h30k_student,term,short,55,1.108904
k8_bb40k_h30k_student,term,medium,21,1.464984
k8_bb40k_h30k_student,term,long,21,1.423642
k8_bb40k_h30k_student,term,medium_long,42,1.444165
k8_bb40k_h30k_student,domain,Econ/Fin,6,1.832951
k8_bb40k_h30k_student,domain,Energy,32,1.477133
k8_bb40k_h30k_student,domain,Healthcare,5,1.322633
k8_bb40k_h30k_student,domain,Nature,15,0.872535
k8_bb40k_h30k_student,domain,Sales,4,0.794805
k8_bb40k_h30k_student,domain,Transport,15,1.033314
k8_bb40k_h30k_student,domain,Web/CloudOps,20,1.355078
k8_bb40k_h40k_student,all,all,97,1.254317
k8_bb40k_h40k_student,term,short,55,1.120416
k8_bb40k_h40k_student,term,medium,21,1.476341
k8_bb40k_h40k_student,term,long,21,1.432300
k8_bb40k_h40k_student,term,medium_long,42,1.454154
k8_bb40k_h40k_student,domain,Econ/Fin,6,1.914415
k8_bb40k_h40k_student,domain,Energy,32,1.491405
k8_bb40k_h40k_student,domain,Healthcare,5,1.362562
k8_bb40k_h40k_student,domain,Nature,15,0.872287
k8_bb40k_h40k_student,domain,Sales,4,0.783669
k8_bb40k_h40k_student,domain,Transport,15,1.040556
k8_bb40k_h40k_student,domain,Web/CloudOps,20,1.361607
