cell,reduce,k,windows,data_ms,fwd_ms,bwd_ms,total_ms,sps,used_mib,concurrent_legs,hours_200k,source
arm6_v2_combab_alignS,mean,8,50,4.1,155.1,124.3,288.4,3.2,5414,2,16.0,run_cf393_arm6_v2_combab_alignS_cf373k8_mean.log
arm6_v2_combab_alignS,mean,32,25,4.6,269.2,299.3,575.9,1.6,5532,2,32.0,run_cf393_arm6_v2_combab_alignS_cf373k32_mean.log
