step,sigreg_e,sigreg_h,u_batch_e,u_batch,u_temporal_e,u_temporal,loss
250,0.0017436164664104117,0.0027398667857050384,0.010161012243479444,0.36585301518440244,0.009561139941215465,0.21395419150590897,3.5040422010421755
500,0.001249822762329088,0.001849518460221538,0.01140885062515731,0.516798951625824,0.01054162502288814,0.2972607481479645,3.087401146888733
1000,0.0008561640442348559,0.001261309268884314,0.013119184263050506,0.6130483067035675,0.011733208373188926,0.38284990191459656,2.995531358718872
2000,0.0008131766458972799,0.001002778677502596,0.01413483584299679,0.7213445365428924,0.012393529154360245,0.4635406905412674,3.7921541357040405
5000,0.001062946530291762,0.000699115860043044,0.025612630359828418,0.7827355027198791,0.020149367488920645,0.6181222355365753,4.480505962371826
7500,0.001181470183655566,0.0006005573784931901,0.03019775319844479,0.7645272076129913,0.022119726277887768,0.5891481518745423,4.457919874191284
10000,0.001162037730682586,0.0005635239742695821,0.03173910491168495,0.772713109254837,0.023257372789084862,0.5824902737140656,4.26780933380127
