arm,label,head,ckpt,gm,n
cpc_enc3,baseline enc3+CPC (#344),2L,best,1.1845955220800255,97
cpc_enc3,baseline enc3+CPC (#344),2L,last,1.1531062578216253,97
cpc_enc3,baseline enc3+CPC (#344),6L,best,1.1583832280133097,97
cpc_enc3,baseline enc3+CPC (#344),6L,last,1.1435819294844403,97
ema_enc3,EMA-target enc3+CPC (NEW),2L,best,1.1613866318296977,97
ema_enc3,EMA-target enc3+CPC (NEW),2L,last,1.181744211048286,97
ema_enc3,EMA-target enc3+CPC (NEW),6L,best,1.1575949824296796,97
ema_enc3,EMA-target enc3+CPC (NEW),6L,last,1.1597165968960816,97
