==========================================================================================
                                GIFT-Eval Official Results                                
==========================================================================================
Config                                            MASE  SN_MASE   Relative
------------------------------------------------------------------------------------------
bitbrains_fast_storage/5T/long                  1.3497      N/A        N/A
bitbrains_fast_storage/5T/medium                1.4121      N/A        N/A
bitbrains_fast_storage/5T/short                 1.3053      N/A        N/A
bitbrains_fast_storage/H/short                  1.5127      N/A        N/A
bitbrains_rnd/5T/long                           3.9435      N/A        N/A
bitbrains_rnd/5T/medium                         4.9975      N/A        N/A
bitbrains_rnd/5T/short                          2.4296      N/A        N/A
bitbrains_rnd/H/short                           6.3930      N/A        N/A
bizitobs_application/10S/long                   7.1687      N/A        N/A
bizitobs_application/10S/medium                 7.6961      N/A        N/A
bizitobs_application/10S/short                  5.6016      N/A        N/A
bizitobs_l2c/5T/long                            1.2410      N/A        N/A
bizitobs_l2c/5T/medium                          0.9065      N/A        N/A
bizitobs_l2c/5T/short                           0.3570      N/A        N/A
bizitobs_l2c/H/long                             1.2975      N/A        N/A
bizitobs_l2c/H/medium                           1.3176      N/A        N/A
bizitobs_l2c/H/short                            1.0676      N/A        N/A
bizitobs_service/10S/long                       3.8461      N/A        N/A
bizitobs_service/10S/medium                     4.1258      N/A        N/A
bizitobs_service/10S/short                      3.2731      N/A        N/A
car_parts/M/short                               1.4133      N/A        N/A
covid_deaths/D/short                           57.5666      N/A        N/A
electricity/15T/long                            2.9182      N/A        N/A
electricity/15T/medium                          2.8060      N/A        N/A
electricity/15T/short                           2.7655      N/A        N/A
electricity/D/short                             1.8408      N/A        N/A
electricity/H/long                              2.1580      N/A        N/A
electricity/H/medium                            1.9696      N/A        N/A
electricity/H/short                             2.0765      N/A        N/A
electricity/W/short                             2.1196      N/A        N/A
ett1/15T/long                                   1.8832      N/A        N/A
ett1/15T/medium                                 1.8402      N/A        N/A
ett1/15T/short                                  1.7580      N/A        N/A
ett1/D/short                                    1.7642      N/A        N/A
ett1/H/long                                     1.5617      N/A        N/A
ett1/H/medium                                   1.6211      N/A        N/A
ett1/H/short                                    1.1190      N/A        N/A
ett1/W/short                                    1.5015      N/A        N/A
ett2/15T/long                                   1.0927      N/A        N/A
ett2/15T/medium                                 1.1352      N/A        N/A
ett2/15T/short                                  1.1361      N/A        N/A
ett2/D/short                                    1.6272      N/A        N/A
ett2/H/long                                     1.0994      N/A        N/A
ett2/H/medium                                   1.2417      N/A        N/A
ett2/H/short                                    0.8851      N/A        N/A
ett2/W/short                                    1.5371      N/A        N/A
hierarchical_sales/D/short                      0.8726      N/A        N/A
hierarchical_sales/W/short                      0.9742      N/A        N/A
hospital/M/short                                0.8888      N/A        N/A
jena_weather/10T/long                           0.7626      N/A        N/A
jena_weather/10T/medium                         0.7912      N/A        N/A
jena_weather/10T/short                          0.4453      N/A        N/A
jena_weather/D/short                            1.5926      N/A        N/A
jena_weather/H/long                             1.2429      N/A        N/A
jena_weather/H/medium                           0.8531      N/A        N/A
jena_weather/H/short                            0.6720      N/A        N/A
kdd_cup_2018/D/short                            1.2070      N/A        N/A
kdd_cup_2018/H/long                             1.1758      N/A        N/A
kdd_cup_2018/H/medium                           1.3183      N/A        N/A
kdd_cup_2018/H/short                            1.1371      N/A        N/A
loop_seattle/5T/long                            1.3994      N/A        N/A
loop_seattle/5T/medium                          1.6816      N/A        N/A
loop_seattle/5T/short                           0.8399      N/A        N/A
loop_seattle/D/short                            1.2305      N/A        N/A
loop_seattle/H/long                             1.5900      N/A        N/A
loop_seattle/H/medium                           1.5971      N/A        N/A
loop_seattle/H/short                            1.4175      N/A        N/A
m4_daily/D/short                                4.6990      N/A        N/A
m4_hourly/H/short                               6.0367      N/A        N/A
m4_monthly/M/short                              1.1742      N/A        N/A
m4_quarterly/Q/short                            2.1974      N/A        N/A
m4_weekly/W/short                               4.3168      N/A        N/A
m4_yearly/A/short                               6.9274      N/A        N/A
m_dense/D/short                                 1.0159      N/A        N/A
m_dense/H/long                                  1.5612      N/A        N/A
m_dense/H/medium                                1.6282      N/A        N/A
m_dense/H/short                                 1.7748      N/A        N/A
restaurant/D/short                              0.8363      N/A        N/A
saugeen/D/short                                 4.4676      N/A        N/A
saugeen/M/short                                 1.4468      N/A        N/A
saugeen/W/short                                 2.2337      N/A        N/A
solar/10T/long                                  2.1567      N/A        N/A
solar/10T/medium                                3.2445      N/A        N/A
solar/10T/short                                 2.3205      N/A        N/A
solar/D/short                                   1.0503      N/A        N/A
solar/H/long                                    1.7329      N/A        N/A
solar/H/medium                                  1.7372      N/A        N/A
solar/H/short                                   2.2968      N/A        N/A
solar/W/short                                   1.6530      N/A        N/A
sz_taxi/15T/long                                0.5967      N/A        N/A
sz_taxi/15T/medium                              0.6151      N/A        N/A
sz_taxi/15T/short                               0.6333      N/A        N/A
sz_taxi/H/short                                 0.6429      N/A        N/A
temperature_rain/D/short                        2.0241      N/A        N/A
us_births/D/short                               1.3110      N/A        N/A
us_births/M/short                               1.8812      N/A        N/A
us_births/W/short                               1.8227      N/A        N/A
------------------------------------------------------------------------------------------

No configs with matching Seasonal Naive reference.
==========================================================================================
