label,subset,n,delta,ci_lo,ci_hi,p_improved
bb200k_to_bb300k_student,all,97,0.0207,0.0051,0.0373,0.004
bb200k_to_bb300k_student,short,55,0.0032,-0.0080,0.0147,0.297
bb200k_to_bb300k_student,medium_long,42,0.0496,0.0154,0.0958,0.001
bb200k_to_bb450k_student,all,97,0.0031,-0.0057,0.0114,0.241
bb200k_to_bb450k_student,short,55,-0.0044,-0.0160,0.0053,0.793
bb200k_to_bb450k_student,medium_long,42,0.0156,0.0034,0.0320,0.003
bb200k_to_bb665k_student,all,97,0.0123,0.0009,0.0240,0.017
bb200k_to_bb665k_student,short,55,0.0037,-0.0111,0.0185,0.324
bb200k_to_bb665k_student,medium_long,42,0.0264,0.0101,0.0454,0.001
bb200k_to_bb300k_teacher,all,97,0.0202,0.0085,0.0330,0.000
bb200k_to_bb300k_teacher,short,55,0.0149,0.0009,0.0303,0.020
bb200k_to_bb300k_teacher,medium_long,42,0.0288,0.0133,0.0492,0.000
bb200k_to_bb450k_teacher,all,97,0.0158,0.0010,0.0311,0.017
bb200k_to_bb450k_teacher,short,55,0.0121,-0.0093,0.0312,0.123
bb200k_to_bb450k_teacher,medium_long,42,0.0218,0.0065,0.0437,0.001
