label,subset,n,delta,ci_lo,ci_hi,p_improved
teacher_bb100k_to_bb200k,all,97,-0.0046,-0.0199,0.0123,0.711
teacher_bb100k_to_bb200k,short,55,0.0150,-0.0005,0.0340,0.029
teacher_bb100k_to_bb200k,medium_long,42,-0.0381,-0.0713,-0.0091,0.996
