name,seed,u_t_o,u_b_o,u_t_f,u_b_f
default,42,0.042477551847696304,0.04275894537568092,0.00314729823730886,0.007827912457287312
default,43,0.04271042346954346,0.04291052371263504,0.00322468183003366,0.010606054216623306
default,44,0.042706508189439774,0.04243078827857971,0.003165723057463765,0.010779212228953838
ortho_patch,42,0.043326884508132935,0.04357288405299187,0.0031971551943570375,0.009164145216345787
ortho_patch,43,0.04345140606164932,0.043593630194664,0.003210661467164755,0.009866904467344284
ortho_patch,44,0.04347691684961319,0.04324193298816681,0.003240796970203519,0.011341266334056854
ortho_all,42,0.043326884508132935,0.04357288405299187,0.003108262550085783,0.010073566809296608
ortho_all,43,0.04345140606164932,0.043593630194664,0.0030883357394486666,0.011096949689090252
ortho_all,44,0.04347691684961319,0.04324193298816681,0.0030675791203975677,0.009747295640408993
xavier_small_patch,42,0.010661996901035309,0.010682521387934685,0.0029555491637438536,0.003345474600791931
xavier_small_patch,43,0.010560918599367142,0.01059244479984045,0.0029994247015565634,0.003752881195396185
xavier_small_patch,44,0.010741299018263817,0.010773956775665283,0.002991984598338604,0.003735563950613141
gpt_scaled,42,0.015894923359155655,0.01593504659831524,0.0030072343070060015,0.0045176721177995205
gpt_scaled,43,0.017839156091213226,0.017927352339029312,0.0029637343250215054,0.004312279634177685
gpt_scaled,44,0.016548268496990204,0.016597196459770203,0.002982873935252428,0.0038492660969495773
skip_zero,42,0.0026771756820380688,0.0026771489065140486,0.0030308393761515617,0.0026311518158763647
skip_zero,43,0.0026996848173439503,0.0026998473331332207,0.002948552370071411,0.0026326735969632864
skip_zero,44,0.0027174220886081457,0.002717766910791397,0.002915751188993454,0.002629946917295456
skip_smallgain,42,0.002854845719411969,0.0028546967078000307,0.0028704917058348656,0.0026484776753932238
skip_smallgain,43,0.00284066260792315,0.0028406560886651278,0.0029496029019355774,0.002676757052540779
skip_smallgain,44,0.0028722845017910004,0.0028724137227982283,0.0029383741784840822,0.0026649213396012783
proj_smallgain,42,0.04261421784758568,0.04289889708161354,0.00316486950032413,0.008191721513867378
proj_smallgain,43,0.0428975448012352,0.04310457780957222,0.003215435426682234,0.01070465799421072
proj_smallgain,44,0.04274982586503029,0.04247276484966278,0.003156036138534546,0.010492566972970963
