seed,stage_name,feature_dim,u_b_per_slice,effective_rank,actual_B
42,input_concat,22,0.7268379926681519,15.99043583869934,256
42,gru_output,256,0.00409926800057292,1.0494126081466675,256
42,proj_out,384,0.0027328452561050653,1.049412578344345,256
42,skip_out,384,0.041641756892204285,15.990434646606445,256
42,sum_pre_norm,384,0.043407052755355835,16.66830825805664,256
42,encoder_out,384,0.043390367180109024,16.661900997161865,256
43,input_concat,22,0.7265406250953674,15.983893752098083,256
43,gru_output,256,0.004188927821815014,1.0723655223846436,256
43,proj_out,384,0.002792618703097105,1.0723655819892883,256
43,skip_out,384,0.04162471741437912,15.983891487121582,256
43,sum_pre_norm,384,0.04336664825677872,16.652792930603027,256
43,encoder_out,384,0.04335327818989754,16.647658824920654,256
44,input_concat,22,0.7268673777580261,15.991082310676575,256
44,gru_output,256,0.004170287400484085,1.0675935745239258,256
44,proj_out,384,0.0027801913674920797,1.0675934851169586,256
44,skip_out,384,0.04164344444870949,15.991082668304443,256
44,sum_pre_norm,384,0.04328707605600357,16.62223720550537,256
44,encoder_out,384,0.04327680543065071,16.618293285369873,256
